transaction_key,attacker,time,victim
"('0xcf91b63d880c9f03050d86a1eecd4e85ee59bf6f2b34d0a9dc94635380710a5b', 32)",0x39e098a153ad69834a9dac32f0fca92066ad03f4,1,0x39ee643b07049bc38baf255343ddf0ac397b9bc6
"('0x057d15237ccfcc76bc48311edc0848f2059acf92aedfa46c4ca1b2e0b74fb629', 68)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,2,0x9433e5a72f5dc60f769f3007c92c4864e8cc6aef
"('0xd21fb8c28d09a2cd5d3fd71a819ebc3bd10c6cca2d3fd0ea2c1e6e697e764434', 79)",0x39e098a153ad69834a9dac32f0fca92066ad03f4,2,0x39eb118e7f8922a5be13d5c640b4c74681931f9c
"('0x7307be36ea03df21704bc280ab255fbe3c1f03a38e2eadc5dd1cff9d174e2a69', 52)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,257,0x2911142aa8167265b2ed4b1d71e87f2daf91d276
"('0x181b729a5384ce6b60eb995c1459407a46a54d26da92ca149f8988e6154f5636', 34)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,67,0x96022f6a8d523e9782312092eac43f70faf83452
"('0x45af86d779acccd952b07ca67d3f4923a6ec0296dc50538aef106646daabe102', 16)",0x6219f06135b79705d34f5261852e9f6b98821e1f,920,0x2aa9227690066eee9efe3aa16dbad6e9dd28466f
"('0xd697ba0e79b5284ac76f51cb64c988e9e9137ea106be35f8dd7cb0911cb40371', 22)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,2,0x943e9ab95f0f04bff29e1c19204a2d5d2634a8bc
"('0xf26631effedb4685d1315a97e54ac7d72f132150af687a6ee39d2daa14e3086c', 9)",0x000002c34bae6dd7bec72acba6aaac1e01a359de,85,0xf2a173643ca958213714712ce195f6f6e9c686e7
"('0xaad174465c782833db835cd48350e9e2a1a929772882b48cd3ccb2fc53b9b96d', 44)",0x2c13083af23909c5dd7d4fdef29451b95931457d,1011,0x2c1812fb2904f2247c659eb994cf0f4d70ac2503
"('0xe3439ca3f8bec623eaf37e322fafa7e9419181cf5fab5e3089105994623d16d1', 13)",0x936c9a1b8f88bfdbd5066ad08e5d773bc82eb15f,8,0x9362e6feae0a13a9d2f98429e70260492efa4544
"('0x48e3cb6dbff4101615cbaff98ee6bac23bc516acc5c6fd90acf5544781f6c61a', 158)",0xd29316898c5e0443b8741cc1a49d9c14f3dc715b,23,0x5d48ffefd6b058110314d4a8ff70561c2c4d49b2
"('0x767275bc442b23e44ec4b9f59392c283db39be939b7e0a3c2851aff9c0a3ffea', 28)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,178,0xd8543b1686590e0c1d37c7fbedf706dc24dbd798
"('0xc13f74352ac79b333072f0e22c469d0a8d8cc3432a5f57fe85f973576ecdf5ed', 94)",0x39e098a153ad69834a9dac32f0fca92066ad03f4,15,0x39eb737330583570dc6abdc34608c08a0b365e08
"('0x8e856af016c45ab27b1ba14db87296e2996b741917a6f4f4164e2e2a4fe68f7e', 45)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,1,0x960456d15ffabc0c3b9321ad87a8afb04ed60e2d
"('0x64e454230e9faedaac0b026afa0fd540cfd7871dcb6c50b96e5cfa3a7f25a866', 25)",0x700ba979a658efa95721fd1f55eed536ea4c3772,425,0x0c08f298a75a090dc4c0bb4caa4204b8b9d156c1
"('0x2653411c292beeaea93bcafa30660454f37106fab94fc96d1dbff1ddd30c5ec9', 5)",0x0060cac5c52bcd21446a677e02f02a6e85ae9535,2,0x006be94610e83de19098d0d6bd5fa87241b079e5
"('0x24d080e3338f3262d60a0a9671b31863b7cea3a19ccbe42f3e3ae8088b093acc', 40)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,53,0x9431bd5d429469f12a37a8a31ab221a90ca9d382
"('0xbf3bf1e6da51d727804b7817f0bce5d97405c99a35d72427a672c8880062e119', 90)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,602,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0xfedf405533801b306916fdf1e8ebfc3c2b246a7a6f8bebedd88f992f085bbfa7', 122)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,5,0x943139170120aa04eb1a3dcc4a3678519892330b
"('0x5631e88d69000c0fc150ecb05c047ef261b15c0846945547c9290deb2e4545b8', 57)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,3,0x9603d4c40c4757d6b93a3e3308a706d96a899fd2
"('0xddd73bbecb211b5c307a1701a18032f3636e4927a77c4b1e9fd3b70e46da4bb1', 120)",0xee857ea94434b6d6867e0abe328fe245a7eac527,6,0x23570987d159285aa8ec8b3455d2f3493ec622bf
"('0x8469ff2d2cdcc7c0e7a9c6cfceba081a618fe5eacc8fa23613a99a91eabb7212', 160)",0x8b791913eb07c32779a16750e3868aa8495f5964,198,0x8b7878e041420402b5372f7d407429f35f9289e9
"('0x72558233aa67b39061e2e4b12fea7c51373650e28e693b3dc6527c57ec8499f8', 115)",0x19eb5a3f49d8cf368f99d3c2d8e65d0973c8b960,674,0x19e5a044679363af7beb9974f475ebcf997fc56a
"('0x6f801c975ae0588dd3e87918d8ab13a163e93a70acdab19e5eb57498e1242802', 13)",0x6219f06135b79705d34f5261852e9f6b98821e1f,139,0xb43a25e9f5afb8fd18235e4eba0061263ddd7d44
"('0x32430801516f72eb616dc457d572a23f3abe77e4c0e72ea27c321f9c2a4d322b', 26)",0x39e098a153ad69834a9dac32f0fca92066ad03f4,230,0x39e091ecfc2520f4f9e4dd59541380fc16b4b14e
"('0x4fbd400735f83e77fff4a880f57c7784c0c38e554dc25c8b90cd0be78872acd8', 65)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,3,0x943f5613e688588f602084bcf0b70283342de587
"('0xc8e95713aa06207d6c1ccc344b6d6eabef3333651dfdc6de9cd3d6948c3b255d', 16)",0x6219f06135b79705d34f5261852e9f6b98821e1f,51,0x224057ae5c1b5522e5149f3b844a4550a64ebcc5
"('0xeeb356361e6ca1eeedc73654463e2ce2e8df2a36891fe2ad5b9242e0c5c76049', 45)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,21,0x943ebaab32796f9f7899a9897d8ac0b469b2e682
"('0x9cc3aba817b590cf7ecaa6bbb11153e68378c3f751dd3c52a7d96abad75bf407', 56)",0xd0ce094412898760c2a5e37abec39b0e785b45ae,258,0xa9305c3c14757bae2e73ef7f66fe241f5f6bf347
"('0x43ec3309417b96d12cb3285a5d29460e59f4233d70fe8518eb94f5f36c6029f1', 63)",0x26b42946c6fdaf13507fba71396bbd66842f26f2,772,0xbc5bdf30741f896411e091ebf1ca089f0be0ccbe
"('0xb01fff057f9d847f08cdfc607b79b4110cbb2d94eb9421c2137053ad9cf215fc', 41)",0x6219f06135b79705d34f5261852e9f6b98821e1f,177,0xab48a9b25b6a12f7a215c5d396f07bcd829eafe2
"('0x2010c1a9850417854d71f699feec510fb67e994a7c552932016a1486d5ff78c8', 47)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,34,0x94314727abff4768cdf623e6f409b09f02be41be
"('0xa3132d0fd7ec681e7eefe8fd17df505aaa3e1d7b162bcbb7e0ac2dfb4e11edb0', 15)",0x483fde31bce3dcc168e23a870831b50ce2ccd1f1,20,0x483531d60afbeb34fe9b18dc26b053e0a32e17ba
"('0xa698a0480609838708bf17f23a37b0305c10747d2ed2319bad0749426c7a68b6', 71)",0xa2ecb7df74299a51f7efa5df393ce444a7213bdf,44,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de
"('0xf7d4ddb94f5e085d5eab453a8492ceb3a8427e4fb16eb94a8ab644525e512128', 405)",0x7c21e2e777cecaf969bf7b7aef0e3bf23d043672,22,0xa9305c3c14757bae2e73ef7f66fe241f5f6bf347
"('0x0d2c375c72571e5fd0db04101c21c1501ab5cf5dc7d8fad4f43b605de6e1d44d', 97)",0x483fde31bce3dcc168e23a870831b50ce2ccd1f1,25,0x48328653840ddfd15816604abca2f0237d5b9de8
"('0x775a5ed629eadc400e2eecd64d3fb8e7a040f4d5760e24336380709bf5d346fd', 16)",0x483fde31bce3dcc168e23a870831b50ce2ccd1f1,659,0x0eab17b71fd959c77a715002ac33a64e009f2c12
"('0xa4570a9c35471c06ca683ecb8c284e7a0b09bdc633dcb880465d057162dbbf3f', 14)",0x6219f06135b79705d34f5261852e9f6b98821e1f,242,0xbde47e98c54b9dd4f69b601ba2857212608a61d8
"('0x0d3bafbaae1212b35547d6c8548697a587c61cb9948968a5fec557b05c475c1a', 2)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,9,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0xbd46a6b520c3aacb23ad7c9e91871e73aee24bf64f665b29cd14f27a69cd9f2c', 32)",0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,46,0x5b91962f5eca75e6558e4d32df69b30f75cc6fe5
"('0x417ff782e797b52f6f2d9951a8b7b4f8b60bfb4ad8f17078a2ce3479d2e66438', 51)",0x7c21e2e777cecaf969bf7b7aef0e3bf23d043672,1,0x7c2146e97b6e71c19180e3a9d39043fa0180cfeb
"('0x00380bbf6bc86d53a4ec702bd35ddb12b94405af7f8fd25e5ea6702f97b2fde4', 107)",0x6219f06135b79705d34f5261852e9f6b98821e1f,265,0x22a1074183b8cf1094cdc6eae0d0cf27f5b3cbbc
"('0xd96ed44fb37b70fde93ef64e150212b11fc96c7da8bb1731c41571828a1dfe93', 7)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,5,0x960b84d91011e25e5bd618ea256d4764ac038bdb
"('0x917ac8ab1c20b22c7e55b3ddf1e49eb654d5a8abd76abdf2c43688f8599490fb', 30)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,105,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0xff7624b2a2a5d40b889d537e5d12f7bfd2eecba0061ecf50af977db0684d922e', 135)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,88,0x94324ee71763dec5005a087580b143946fd488a7
"('0xb77735afd421078f4ca21411bd025d83c260beb851a425a100980df47225d5b4', 125)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1,0x943ceb422256b67733e378a3292aa1ae55537375
"('0xa5e3a8a11df47cbfa20f9fd0e255160dce253fed8e7f2ace99af4bf8ca170c6b', 13)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1,0x943bc53fc819bd9ff67451757008d97a4a56092d
"('0xa9db8277f370936829795594a4090b3c009031655a4e97a7d4a3985691aa3b76', 37)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,1,0x960aeaaf48b0acac90ec57275c19b3cf8f791c27
"('0xe8463390b2586c65371361b049975ae9593643b9079b97c98a4707a5db848ce1', 23)",0x7ee37a174c0c17ef460830db0606c2e8f83fe6b8,316,0x268eb96089dcf30a245c3bfe502ffc54800d1de0
"('0x0a3e4833726804f6f389e2c3b569fe5f6ec54092b87f4d01cf18e1a9305b9611', 39)",0x2c13083af23909c5dd7d4fdef29451b95931457d,119,0x2c1812fb2904f2247c659eb994cf0f4d70ac2503
"('0x44fab81de922f538ce35fd18dbbcee597d463197eab817fecc513a44d4862f76', 163)",0x483fde31bce3dcc168e23a870831b50ce2ccd1f1,27,0x48328653840ddfd15816604abca2f0237d5b9de8
"('0xcce4c8b13158bae389bc0904b4bca2cf98d73223ba9419b7583088c1791b76c9', 13)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,8,0x9436a6fbff4312311a14b01671fb9ea3ca17600c
"('0xe05f1baa904f579ef2b08a98e6451cbe2c50fe982732f46213db6f8e8ff0c072', 7)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1,0x943a019d249fc1595364891d81e04d85b57053b9
"('0xf42548d656ccab9d9d8d844d83d6c025a4dd427bcd9db36415faf06f2368acad', 138)",0x7c21e2e777cecaf969bf7b7aef0e3bf23d043672,2,0xa9305c3c14757bae2e73ef7f66fe241f5f6bf347
"('0xeb7a2cb6f0c807a5d289b35390f5392401a01c0d2c55118adb83fe6ddb27197e', 36)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,4,0x960407c626ae72e9d9d9c73a38c834d0d4b2c64c
"('0xb5891e47f4aa58f9e99b2e5e212176a3eac4a7de1190ca6a2b4f6e95f244b2a5', 6)",0x000fda60a58efb43a9d238ec1ed2a5dd6bd6d54d,1,0x443f985fd3484b9fdc7b5df58c9a0fadbe449b92
"('0x0a0be8fd4e03d152e930d3fe0b68a84862d700892aeec297f3d959340494a50e', 2)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,402,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x24c283309cb7bee319230b19eedd04a8275e3dd07e4143c045f39d35339a8834', 85)",0x936c9a1b8f88bfdbd5066ad08e5d773bc82eb15f,31,0x936215be33ad684abc6044d40ec09f6c6c6c28e8
"('0xffddfe3267505da898411c0ed07819b809bf4b25e7965014a4c4728309b82339', 38)",0xcfd4965153639e876fb1cc357ae4711df5a75966,814,0x9ca4806fa54984bf5da4e280b7aa8bb821d21505
"('0xc06be42a890d5285c14ddf3952678a12efe01d2f130805118b942fa68a26aed1', 61)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,9,0x9605fc52bac7968d6fad9e6c84085673e36f2879
"('0x2d5efa43ac2e3b532e90751e47f5c227ac71f1f99c66e27fed9f1187d094ad23', 41)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,414,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0xabe8632afd9f68bfbcf474b02092e9f95af2addcaafacc3bc98f7145355a278b', 27)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,394,0x6dd82a1b37a1f2236be7926cd9d32381f3821127
"('0x2124c2013fd4021589a37372393927c3cf785987af56b3d95785d788a1ba1c60', 236)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,25,0x943369aaf0ea28edbe78a791333dc99451315633
