address,attacker,score
"('0x7ba926943ccdedf0c21339577b12913ca2d3cef6f803124b1b48016d18c3a363', 9)",0xc7510ddd82685c5c382d28c149974bf1537ac8c6,0.5
"('0x57bafe6d9b31981c92389361b5fa1825d993dcc60643e61bfbe76ff95b88b681', 15)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,1.0
"('0x49cb31deecb29fc25b13ad87b8e05579e564d620b69e7aa22e9c5df653ecb851', 38)",0x5463d38e2aec4c52a81b732e730f99992c87aea6,0.5
"('0x1beee26348783b2f255f0a10a4a1e48d3cda71cbf1d3a111107da7f5286db087', 94)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,1.0
"('0xdb66e3ab94147c8e7c76f81b4f59662f67a8b69be3737c7f0ac218a254c6b68f', 73)",0xb85feb6af3412d690dfda280b73eaed73a2315bc,1.0
"('0xcfc9efab1628716e2f23d50be2170aad038e201352de1850cd229cb4e2c5aa27', 1)",0xf28a4af6d5dc9550f5829b0b9edce230d9b07824,1.0
"('0x7437145f9961bb5ba7bd43f8ed76c50ffb1fe2b45084ce4b0f0385eceabc9be5', 67)",0x6219f06135b79705d34f5261852e9f6b98821e1f,1.0
"('0xead98da235464a17368e204d17c68706b16975a88811ac45b4cb7389d00d8f21', 110)",0x198c46f639357ac2b288dafb81ed46f3d745bb31,0.5
"('0x906ccbf23efb5f4f97c0768a5b860bc3adf6e36a3c329f8f3fd2ad7446ea83bc', 4)",0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,1.0
"('0x50849f007a90810d9e1422db6c57d276f766f03ca0af7c6ef71f4b38965abed0', 358)",0x23612a761c280a74b83455d821c9880335421581,1.0
"('0x5a4bfbcf5daa6c207e79df0d2b5b1af0fefe5a56275a84c5bd9cc758f4bf6e38', 40)",0x2687dbc50e1fc8e012e4d92e02b50030f768546d,0.5
"('0xa0e47a4954ca5cfa4e71f46236701e0389e007ee58aca142094dd165c76c941d', 696)",0x9a3fc3e1b6eb2f538151b253573eb254afe5386c,1.0
"('0xb2b6392b9fcea44411c38702521d0e8b67ee629ef30c56b985a2d2fc7b9aaaa8', 103)",0xa6b8b9706b01dc777a72a75386a027e78d970137,1.0
"('0xe5888b509cb3504f5279700ee895c7d6bdf58f695c0d8e0e3358a8a3006acac0', 90)",0x6219f06135b79705d34f5261852e9f6b98821e1f,1.0
"('0x694039426a2fdf384097882b268b609baac70893a3ed1a7cc386809d3b5bd5d6', 27)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,1.0
"('0x4a86c7de3413300dfbe67ef64e9c0a887c252084bf50bdcdbf274b9cc8e59616', 56)",0x3316251b873fcfee3e8b806697ef75e57366381f,0.5
"('0xa78510ff29dd2e2b7af744eba7eebaa21a78cb2da79b018c2eab412213ad5e8c', 106)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1.0
"('0x03e0c4f27e64dcc6ff2f45a976f30ecea248f89d224168b4b321b3c72da7dc77', 17)",0xc2b7890a448c1db67bbb9aac15575ba89bbdb799,1.0
"('0x7d6c0966f2b8105e9ab58e6ca7723409ea0bb5e63e051b27c4107929cb15e5c2', 74)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,1.0
"('0xc3fd78ec5894ee723f0b3ec9120df32f5ae236b8ccfde051824f0a89160298d3', 68)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1.0
"('0x41e31315c2125672a88e9500134d3378ce5586cdddf19f27f355720afa50295d', 48)",0x140353880b4b297cbf496f66aee188b2d1b9fc04,0.5
"('0x423fe4817eacf99a213dbe35402a27913feadfe4ea6e1d6201ef41b5009fb8d3', 17)",0x4cf03e4eba979b81cb8a6ad46908a2f1cc7b604a,1.0
"('0x0f47326f4d00e5928609e3e708e430487b9aab8e483dad40f6277d678504f59b', 12)",0xbbdedb43f5956941d74921ff7c8497298c92f524,1.0
"('0xdd73f72a1d36ac204c8908636d49e7fb7a912c3274fa8552f9553a5b936fe4e4', 520)",0xa14a780f074d1b5447c63ddc07e461ac5ca2e66b,0.5
"('0xdd3c9f27ef5c533acb20de843efa274387a228d5ca39d6924c7bb4426f06591c', 63)",0x1bb06432ef82af2927db0aa91031ea89409cf095,0.5
"('0x3c8dac031b8c173d100d850c8b4413a0eb15036e957f19e2532e25bb65af29d5', 54)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,1.0
"('0x4910551ba79ae57977457aa7df39026a0dfdc0268e4401d1205920350bb8cd7f', 16)",0x5932e4a63e26b0d961fa001f43691711039f9e86,1.0
"('0xb6fee69b99483e5a4162bdd0896c400d9b49c5f41649c3906d5a974615ea5c1d', 55)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,1.0
"('0x4c28bd5e4030fe281ee7a5010d6897f125bb58aeefaae6cbaf36c3a2a25cda04', 32)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,1.0
"('0xff84ccfddf1140ed1b977ceefb17303a9e8658409279b2378190a01773a9fdbe', 140)",0x16de9c6ef8f50e7a8aaebcad7ef86d7365f15c5f,1.0
"('0x734002da9fe33cc3a09f9f8151888714cff78fdf774f8e8c947cb7b1d912e797', 55)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,1.0
"('0x052bcb79333975438906ab7fabde86d3694dd936bf86aa04bb36b0e302157267', 10)",0x464f490251da244db9810087848855c35c4563a6,1.0
"('0x9e5915dcd178ef89c08572f71b1b1caba51d06fa4e4b55498868a0090deb3948', 7)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,1.0
"('0xc982367fdaae7700e92a0cfd7d27c99e4e8d240370925c34971ac6d6846c8bfd', 45)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1.0
"('0xe0834e4e19c12155793fd106f1640a4c09f9de8a938770a616b6730db3e2ce07', 22)",0x23612a761c280a74b83455d821c9880335421581,1.0
"('0x73be2f8abe61b7bdf97ccf28dfd0c315fda785809f32999764720412bdde077a', 69)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1.0
"('0x3682d7d9022227c065d317afbfb717fc366c3a707135f44c11626d4694d46cc2', 20)",0xb5e001cfccbd237cfde38e1b8242a17acf3087c5,1.0
"('0x72e5af970774163ec9c90252e52e27577dfd41a6af6acc69afdb21756b894f5b', 15)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,1.0
"('0x17b48736acba44311c232f716ab31aea9e783976e52a5debd6a53a703ec902ef', 56)",0x23612a761c280a74b83455d821c9880335421581,1.0
"('0x4b6779f4ba9cf012a47c4fa8bb0db0d8d7486ab2666db7a1c0ec851672abe653', 6)",0x4a37195187a425e9cba15f47abe202b66a4575a2,0.5
"('0x767275bc442b23e44ec4b9f59392c283db39be939b7e0a3c2851aff9c0a3ffea', 28)",0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5,1.0
"('0x2b0f74f2f05645232b596fa93d2edc482fc4b27593c256a7afff75c7c3a10680', 46)",0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,1.0
"('0x12ef2dff9e57e89864a1590343e2aeca8cc762d4c3b31fc69f615d4aad7fb3c3', 32)",0xba307b1807a39bcc4f7907c471159fdb380465dd,0.5
"('0x43cdf0893e9b65734fe53805b84d33f1f7cb3b9ea9e448a60b40aa6ccd92c44f', 49)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1.0
"('0x27bb3c322ea23dd033517fe1a7d3191ab329f4d80cfb18e9cd27c31dd6eed331', 16)",0x39e098a153ad69834a9dac32f0fca92066ad03f4,1.0
"('0xca4fa2ef536a66a8920fd1d5a0c7160486acb135856eb1211189c1f936c98272', 9)",0x483fde31bce3dcc168e23a870831b50ce2ccd1f1,1.0
"('0x19a2c5b99a2669721b71d52296958dbeffd476377538140b32dfc5797014c03c', 52)",0x6e2b76966cbd9cf4cc2fa0d76d24d5241e0abc2f,1.0
"('0xbb18354aa463e4caf35e0b2a2e98748be731207a8253ee354e4e7af141953c89', 380)",0x2c13083af23909c5dd7d4fdef29451b95931457d,1.0
"('0xe55304564c87b040bd6a2bb865865cb815b248b2204f36acf51e656f213af846', 27)",0x042b8289c97896529ec2fe49ba1a8b9c956a86cc,1.0
"('0x02861aea6a57daac0a8172b0a81251658c9c000cd5d0abf1f2ecdbea87c887be', 11)",0x042b8289c97896529ec2fe49ba1a8b9c956a86cc,1.0
"('0x56ff5491abc6dc4de59d0796d4f4c5f04b125fb69428bd076e829b837bd6fa86', 116)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,1.0
"('0xf8d22b8e1897de2e1d5a94aff86647145acceca6f1b5d4933dea1862560e2577', 118)",0xf91d05c64a7c58f1b3697f825ad10e15c08cdc01,1.0
"('0x580930b9007950cade5b79451d84112c4ff99a6e12b0de8c9c98511c3eefd832', 18)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,1.0
"('0x06d03136d3f42abd50814e86170136a1d85ecddbbe3f0d3bed397823ef9ee66b', 18)",0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de,1.0
