key,score,victim,attacker
"('0x0f18d5321222aeb08d5f847a718d6e8b5954adaa1675c07b4f5789452076f6a8', 60)",4,0xd549812f1a565089ec4849c815d161ac69986882,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xb0843c59fdb596a38b6856fb967dae27a29f1883b1a5b2dc003d03606321f7ee', 4)",3,0x14051cffa0e3ab960934c1d390adc45e3f15648c,0xe4e156167cc9c7ac4abd8d39d203a5495f775547
"('0xfe3f40bc11eeda030068034aa743dba9e65b7c2c48f4a3786b71481fbc2170ac', 63)",3,0xd787fdc499a630ebbf5ebf2d12582bf93de43497,0x95d721a0673a2ceb36b043c414a07e4872fc4d2f
"('0x868d2fd158ee70477c45418f4ce6250f05a6e792c9df936257587106405a9d6f', 297)",3,0xd7426a8b831a5c504adaa77949b93c2d3108830e,0x1353b2bc10d589807185dc7989d68da251d3d91e
"('0x48ec75dba7fb137d0ca4362e1006a650f0411f3eb8aee61198fa35e5f2a1b392', 50)",3,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de,0xfaaba7fb45b9fe28eef4ea2a09cc94b1a5f2e037
"('0x21c2b8be0533637732e03f211b9d585bff2c81c0092d433181ef7dd71f0a43c4', 41)",4,0x0177e1b290a1acf807a74e1a4f8f6d63961bae81,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xfa9c28aa16e7a18cfaf126e60d1fa70bcc92a1dc0eb2281108aebc13da0ecd29', 86)",4,0x4cf8d96a6babca2a17cf90024e560dc4cfd3681d,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x36776ce388ebb2cfde21cb340b69dec5d5555f2240a8ccd1bbb6971f725e1789', 40)",5.0,0x907c530ffda576fa3bb43abe0a4df8e41ea6248b,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x1988ec83c55dce809552489d4058a6671262736849b617de999e4f47bc935ec8', 129)",4,0xf1912c7917b6da214a7118d323c3049229d765b3,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x465259de5517be34ebc45784f32c29ce5b3a21221080d2e55d81932b7dc8421e', 28)",3,0xfaaba7fb45b9fe28eef4ea2a09cc94b1a5f2e037,0xd74721dd95263a7d0e8532a9ca8063c896980b50
"('0xf096090b066e9aa11c7273fdf5c1d9634f214ddad50c2fb7740f69a0deecf063', 92)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0xdd9e44df38f38ec3cec5a01d71fe61c6870b93c1
"('0xdfecf4cfdd21816d036814eca07a1be16efaadcc483c59e5ac495345f14e198a', 77)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0x34c4e5943bc9eb74d693214e848fbda8f861f0c4
"('0x48ec4881ff0439c942834f7f020b2f531e21ad50b3d8ef1185df81f2121603c6', 115)",3,0x4c615e78c5fca1ad31e4d66eb0d8688d84307463,0x51410e5c286d62cb886e7b02932407106fa20b57
"('0x62870625cf9622ef7535cb7b14fce7574f91420a697b451723344cb04915a1e7', 125)",3,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de,0xfaaba7fb45b9fe28eef4ea2a09cc94b1a5f2e037
"('0x6bd437ab524fca81d4bed160fbf3edd13b1dabe4e5d5d68b644ee817038ad451', 46)",4,0xdfcc1a5332c3be6e1911e906ed1e3c043dee0320,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x355ded2828fd93e6dd3c64b05036ddfcf0fbc04c4d6b7af8e109d22bcf6033a0', 78)",4,0x7e7df9d71cfd192ce6fffe0ec04adba13627e271,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x72a3c80589a784c9f2c74ae9fda4c7adbc62bc10259a3843f8c953afcce35ccc', 35)",3,0x3c11a19eae76caa57316ca258cbc25e4c55d9d07,0x3c11caacc9fc70d9130792c39702c5f96ce68a93
"('0xa4b7e1716d3c477cd66d6ef1052e9722fa9fea69dcb017517481d43dd0645ba7', 70)",4,0x3a8c56414dfd579d290c34e6ab823d8ad7e54fe7,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x1244aa6a79822dc68d907b1dacd4bf3705b1a8c209f9d3103c191ca06e9e7593', 71)",3,0x16e891a676fb70b0eda0de7547c0096338f7ddd9,0x71a708115556d13388c9a0918216471f1045e7e3
"('0xa0224bb3ca4c4c2ea7998a70f24bd7758516eb42d90bd2a901ad74d9c63f1706', 81)",5.0,0x1017f6ff01be86434ee093df035720e0830c80e3,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xe42e7bcb6a9a0eeae7693f05807e67af298c8f0db833c89a4dd6a0d98f9d93bc', 52)",4.0,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0x3c112421e90b9259b8d3d98824fdc2fbb91e683d
"('0x415981fe456247e6f7f1e24db3904e7dca59cc16c735c34a687a3bce4fc72ef0', 40)",4.0,0xf2cc4e87e5af2b7f2edeabb427b85602fc900466,0x63e521d99f65b3212a7cd199f03c9faa9b7e87fe
"('0x1e6e0444304224c8e7a539ef6cca31dd5036c9e5932ca59bfccede15157e23cd', 65)",4,0x7235dad27d8ea5221ac2dfb8df5d35b507fd2c31,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x46e0a9017d911b6f817df24f3d66173c29aa0e3645da9c0e22d2d7b6d18ee893', 50)",3,0x0060cac5c52bcd21446a677e02f02a6e85ae9535,0x2e866ef7d64fb1ca9a448fd35133ce8b7ff2c8c8
"('0xf063eb535bc86f6144fc684ef5339b7d776b2f9e86d4de1402fd651acb15dcc7', 1)",3,0x268c514c5af76c9e409d197830a2fcb36be9bdec,0x268eb96089dcf30a245c3bfe502ffc54800d1de0
"('0xfe0e5a6b2ce8aa70fe7858b788860f2f244c5a0530906562b4bcff105ad0ae93', 118)",4,0x6f73b361455e1ac6e2229a4f91d36bb34a99140a,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x743c8e8df347078d61b2a8a501d89d2ec8d7ae747c63dea26cb9abafa1653911', 102)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x483c216e0f163cd50c166467121d368a8d95f405
"('0x7130bd7b096094b537a314f4bc2bc453434a3e89ad724492961693e9ee14911b', 81)",4.0,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0x8a556ed11f9cc522422bf91cee1dd8f06697a521
"('0xbfaae2372f3df368f3589bcea2c46a4543162f9a468b73ec041487d294a28bbc', 35)",3,0x90fbb1d7e4eb249308aa3dc0769379fdf2b0a255,0x6219f06135b79705d34f5261852e9f6b98821e1f
"('0xe716354ae0dbb6af9181947c55d7e51a65410e6075a40c2161b171c29e51e781', 45)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0x9485694eeee5da9d1f0b017f4e1e6bd3a76609e2
"('0x53dc0a4d7a5cd0d0f5e129ff3c9332db978418663fe53f52601b69bb47b7303b', 56)",3,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de,0xfaaba7fb45b9fe28eef4ea2a09cc94b1a5f2e037
"('0x31c5e848d2f7836d92249cb28f2d685e9a298ecf74bbb0cbe8f54b27031410ba', 10)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x0484beb4629990d2bef9d8f33ba59a8e72a9db16
"('0x9a13d9d259b47a3ce8b54e38239d87618fff088282b463da75b37a92c7ce946c', 8)",3,0x6219f06135b79705d34f5261852e9f6b98821e1f,0x2a98158166be71d21dd97e248ba670211df9a73c
"('0xd4b74db1963d19f73fbbd649be53b8d47387dc9dfa684720ecd0f03808d6755e', 93)",4,0xe275103d755d050c07bc24c8afca7db3a867c844,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xc84bf39534203f6fae6324869399a8c9c02cfd40639f762e1eda46786c81031e', 4)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0xf67e291050d5a31a2ac07b2fc7bdad9b38a136b9
"('0x74aeadbfe02178d21673d74936152a505a2515f5feeee4222c42d6ad3d4a24d0', 114)",3,0x1353b2bc10d589807185dc7989d68da251d3d91e,0x1352fa56d0020bdb03e882e8f4172a69972fac0d
"('0x73e48c372426711d7cbb8f5e3694b690fc50c1b5f8a3d25f15fae65b0b78c003', 117)",4,0x2256526956b4f2b345d4ee2d6cb34ec8b019d569,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0xa70687d2f592c55604561122c7c6cedb3becc8305f33d6c2fc6b9d14fc30f8b2', 84)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x9a5055d0133c5acc3b95987f7957bc24bff083fb
"('0xe34709fa4d9f5cb718a80a1dc252dfea677c25eddbe7a8c4084c2900e2e982b6', 75)",4,0xf93731869c310862cd4296164a4fc09a351040f3,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x56fc7b93eaa1ec871a9e340e3fbdb0004692795254928a69ed8c046b0a92f57b', 31)",3,0xd787fdc499a630ebbf5ebf2d12582bf93de43497,0x6b24e87fa6d30a2a6e6d60f6da85df6b42100979
"('0x87d907ada2b58541ef92909a47567ec5d8ef3e03f9614197093a24bf3ba6e01f', 45)",5.0,0x083d2fcf907a74235dbc46a20fa783bb6ef289ae,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x98879080872b67328120d854381f04c896eb43d2dcd022ded4ef754eb6b114a4', 66)",4.0,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0x5b9e9beaa08a6f7d99528c1ebff63ae1637fc2de
"('0x130d40d9df187c5342ea7d51f4f49c27fff0b1d46fc7f3f950bf5c93bccfba1d', 2)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x3b2240607760c89c43915a392a6f60f3d7f41219
"('0x4197248aaf7d545f0188cd81727355f0c3e1968b59dc4b22732639d8ce8486bb', 63)",4,0x5fa4e303a14df868b5025fadaeeaf95f0a9638b9,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x99f3ba4e918f8e237eb10dd8416035182f61b48466a5d0bd251723e3dc312029', 57)",3,0xde79dc7e6806e45edcb8e89eea2380b3bb6d7ebf,0xde759b830e1bf7116b6189f98b5c3a4f5fb8b59b
"('0xc24e963a4642693ee73258c3b803bf743a82f46fb7eea9ece9d7f9570b762091', 2)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x04808250df92acecb57a18002bc50953c300e168
"('0x42cfccd31b7dede2c81bffb3e360c7b40c7dc9aaa895527eed234d8dc73105df', 38)",3,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0xcd56dbbffb0c27cb4575d90eaabcaa52de436beb
"('0x3a877a2c0980d153a0f69b10e65780de3028ae80328ffa2781f2c2f3df2bcf65', 74)",3,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x0485c4759beb6022061416c7374ad9e5cc1ebdb6
"('0xe7e1370b5f46c8a40efc259b55cc3405cd0f765f111b6e3ec1e96cf1a13ee920', 82)",5.0,0x0299cb22804ccda6eb64b5c891de04d9f526cccb,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x89bb26fd6bf40fa2bb6637bd19983b9e104e94626bdede163f1527bdef43fd8d', 134)",4,0xc069b9f935c4127c6ac8893622e0002ba9f89cfa,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x214aff0215708bcb53d65fa27d67c7eff725d010898d9de5f3bda92bf49a2638', 42)",4.0,0x6221d55a5da5f89970aa4e3a54142948e5120e1d,0x67ac8a55524452ced39a23da4e69a33731fb0560
"('0x2a2615dcd895206fae8bbffc41a66e4c91450ed83b9fe45beacbf144e64a5cc2', 500)",3,0x82b6960fd11b11e3bbf62bb5aeb5cffd63b468de,0xfaaba7fb45b9fe28eef4ea2a09cc94b1a5f2e037
"('0x3d1a7b55d0e6269d61812a8901b2fd261f2ba56bc1e2c690c6c6673891e3c297', 9)",4.0,0x3b21eda5c20d85372eaf61e0e6b3ea9b9afb0b5a,0x0bf8b4933382834fefdb64fa61e7f60cd9c7662b
"('0xf704c457e8e83e946d3543818c21e8fe2ba55185f06954402f7a644a198c4079', 71)",4,0x96f6aba7a5e454f5f62e3edda8579324ecbe8229,0x0000000bf358c71e747cb6c8f318f9fb2a7bd502
"('0x6304dcf9f85a8a4847144d7cc6bed700b726886bf5b6a96f6ee793e8b594563b', 22)",4.0,0xfaaba7fb45b9fe28eef4ea2a09cc94b1a5f2e037,0x53d8b6e1e005c2aa913915167783b05c19a03995
"('0x42573b3f0bd1cad9bdd0738e39f2cd5cf5a92d37115492c0f07451b7e4b4a5b3', 612)",3,0x389c30dafaec0a0c637c33f39e1bdea75c4ba0e6,0xa203424645d35c9b82b42e0303ec1867abfac3fa
"('0x18d4f189eff6f16eb0736a3570ad30150211bc3f9ed7f0226e9bd6532a2570a7', 38)",3,0x3c11caacc9fc70d9130792c39702c5f96ce68a93,0x1aeef8e5574952869a343296424e4c71464f51b1
"('0x42337db546f23db5d76fc7403d8c626782aea1947b889044a1e7e08dae9ebd36', 106)",3,0x2895730d1f120513105c11f3394c818edc7e7710,0x63eda099f4db9bfa33005004bb38ae8248a550af
