address,attacker,score
"('0x0b002fd927ebe627d41126cbe3cd8b95f62a160b999119536a9d13a25edd4974', 85)",0x0000000bf358c71e747cb6c8f318f9fb2a7bd502,1
"('0xc4b705aceedbafcf5e66bcc0489eebd697fe98536c530a5a5c604586ed958cb6', 96)",0x95733565284cbc17fcb9d73948290015ffe4573e,1
"('0x80201a4a07e731e05adc29e1ab7aa06c6768c99617dbc2050c2c3ec23676a937', 42)",0x00009e625e17ca7cd8790ab4721ba17c165bc990,1
"('0x1127b0448f528daab322e3ea7c9a97ab35efd1f50b5542d90c7014b503554d67', 52)",0xa81cd3ba3ca7c5586fb6e653adbb7e3697063c7f,1
"('0xd5af08b67d9732d6442f54d74582496e278ccd8c397be76d5142451566bce23b', 55)",0xc9181f61332a8a1665d38801328638cf562a9876,1
"('0x332b36435e4987395cca5448255bbc8c58da26f131b5c9d29283c45cafd0a9bd', 64)",0x116b6eb445ef2fefc2f46d8561dd28b3d63fbac0,1
"('0x2b1a96c80d989bf892408a1c666e269bd5cdae314a2faea0b714d0ccb985ed60', 14)",0x45eb3ac36595fd6f853a1344f31051070000a52d,1
"('0x0b4d8efc3c8635bfc7b98c08ba4f585aeac4cb25489814b16e15e0a262e135b6', 41)",0x9575001b427cec039a260330d08dfd813d4cd4df,1
"('0x1640d6efb40f1569b8fbbbf46e9695439b6c7e0dd2e95a1486ee47ab04631899', 63)",0xef52854b03b187ec726fee128f0bdb13afb0888f,1
"('0xbcdfe78233acfc869ed6d2e69fb6d1a75364a2d4da1c1cd11cdd3c3ef37ec941', 4)",0x95739081f5914220bfa1acf00e754db75d64df15,1
"('0x1585ca0fc85807a1ab968b1f472921ea4aeb9bb3c229020318af0bbb393e14dd', 60)",0x4835cd5cf92192c2e84cc2e74286949ef0eca113,1
"('0x9fd6eba9d7b2e7fc96b4d3104cfefd33acf10ccdaa9e1407569dbf5d84a6c356', 63)",0x957ae954c323c2df5bd89dba423bed28e5288ffc,1
"('0xc8d9668a8484238e76a953959f0d1ffe3e7e57389ed9b9e96f8ac38cada17c0e', 30)",0x7515d394d05c5910dfe7cb317d64ff3bc38b5a16,1
"('0xf84da0c83b07cc47fbc83aa06d5ce283a398bebecd5e44845b7b2752e8060ad3', 44)",0x842338a3ce2a5fcbbc07ed79028375eb1836c909,1
"('0x80201a4a07e731e05adc29e1ab7aa06c6768c99617dbc2050c2c3ec23676a937', 44)",0x0000a54f16928db8eaeddf79450e4b531b2d8c65,1
"('0x49773501cc3adb8ec00e843a2198d613d29c75d339765bf722dd15ba1aa72bee', 24)",0xb7a4d77756958405efe29fa8d8f4a71520f77da1,1
"('0x55c713cd5271b96f276c37a3c7ab4d0de1bf71fbc66a8de4aee8713ec7310e34', 84)",0x0cb2e6b42c9e631e980bf6108261912d3aa062ea,1
"('0x58f63101ab38a25679812cd703c4f72a80691e62b0a3347696da32df854306d5', 74)",0x0000000bf358c71e747cb6c8f318f9fb2a7bd502,1
"('0x5fdc4949d4b8c6294070db1230cd71965b8a37f9633e9608fda7ca71c48b4fea', 5)",0x645b9cf07470183ce1cd65acd1db28548c081553,1
"('0xca8c345148d06d49620d16face1ec6ef3059f9632fc34ea88a14c556871d3c7d', 4)",0x9576dc8e12421af601d4c7d7989b09cf17691d22,1
"('0xc7b21c9b2f6dedf6d7431918ba981b458c2d2a2899322bd97e407ffb9fca671a', 37)",0x957e63ceed7af167e604367eaa15904e5e532a1c,1
"('0xde65ac52c5beeaf848097888967c6e438a56e2c8ddef7eff3c782b1a6dc0c329', 1)",0x9575fb150b178459914189273cd2f7a423d08292,1
"('0x37a9fc7f906137dd07e53e325575a09724561201e75e240112aab0645cf17fa5', 26)",0xfaa6e257744a08ae490c0d1c45a2d1afa98d8198,1
"('0xbac0bf6916ed3a695f43bc3a9b77840a7896edbc6137e341349fbebf52762fb6', 102)",0xf8b6114f95c2d87f31e9d15b6c6de779f44951f6,1
"('0x63c49d1dcd736f7417cb88ebb00f4ba5867313d272f680fcb36ae84e824ee1c3', 103)",0xfb721739502fd1c0aef7104639a69f4f5b941b68,1
"('0x2d070e4351a6241928025a2d51bf2e1425bfb44721ceb9debce9b535ab988e24', 20)",0x3d11f1dabb06ed00c55aceb3f357b8f0681be88f,1
"('0x38c0d648d1f5ddaf75ac727ff12e8a1dbd6bda2f8d4693f50b98ad2bcc6e0ea5', 98)",0x3349707bcb2a43e874788297eec75f52f84813b8,1
"('0x800b0453f6f6ba4f69077574b76f65d3c93f1462dda573d3e74f9c167d97b7cc', 5)",0xf8bc049baa059a1b8733a4952bc05d3c90246709,1
"('0xa0224bb3ca4c4c2ea7998a70f24bd7758516eb42d90bd2a901ad74d9c63f1706', 81)",0x0000000bf358c71e747cb6c8f318f9fb2a7bd502,1
"('0x32e25389b6a2f2948a180d962007f4f66db964d35b5f6f7e51fdedb575c7ac57', 48)",0xe3684065b16051c0ccae3544dc0a358d8022b796,1
"('0x9af3ffde2530385c4fb87ed37d3aff0154735b61b687d318461bd421128f2871', 37)",0x550c97c62ed38c822779d68f0470ed40bf456fe7,1
