address,attacker,score
"('0x516bbc5e0b7d46c73c59b7fc021ef5eb1e6042fd2d9a606a15d1b29febc62595', 46)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0x2cd9af9c1afefcbf5161819ee9f7e8b9ffa451097fd4385979e74f2439ee7b94', 10)",0xb37062bd48eaa3d9343634328b115e0184ca877e,1
"('0x22525b202024525642a6867efabb28ae25c02313c7caba053663f9715279aaf6', 82)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0xe0d0d10e195c6750f4fdda8aeff1fcab83771929b82576a698105b447ba3e6b1', 18)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0xa5996d8b3f06ec60b143f94e9fb59ac60e22769775b5231a3d523007aec0cbf8', 27)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0x6c2db4e17dff139620fbf678f541d03dd5b7422790c7778c1b6f16460b7b617e', 7)",0x2f17755cb159dc5a5fdb4e64c57d66c9f8038769,1
"('0x792adf25efd962a2155d5d8c39f5905e430d5ae6b6cfc1533447576052149a5b', 93)",0x2da6dd9133ff4a9397b6618cb6bdba589da8ab07,1
"('0xd878b89783d3d02f4496ee1a251855635628b15e05c09cbb4ede507457a55a1d', 127)",0xb37a69c4f4eb82af5ccba06ae2bd9fafb8940077,1
"('0xfc9ddd3a32e5d572e0a6f781d166fe813baefefce69c108624d00bf3046ffd2e', 139)",0x17a48ce80a7f7f3f774390179b1a404ce9c9a77e,1
"('0xc42275c5e65524f8576d0e6baf31b99584324ee790f248aa0336799a6c587293', 8)",0x3b802293a784ff66f14b95f1df07ca542ee50cc4,1
"('0x58e123019d2899cd339049f787126c15716b7c1f770473d362eaf2439ddd9dba', 66)",0x386f4de215a8372c6b064499a5ce73b06b89dad6,1
"('0x2811429b5c067d4ca3318e2065d56e89e74b6920d3603d554fd775173bebd4d8', 19)",0xc05aa471f3bf88c940812d17a7630f620f003778,1
"('0x5a90dd019a7b0d4a35a71864bbcd6ed35f991be9aba4fabe15774d9ed09fac7f', 9)",0x0000000000000000000000000000000000000055,1
"('0x26bdca6a5ff6a8a3e57e480d85e78b2ed232b37fc196e751a209e6ce5631d2bb', 10)",0xb37a69c4f4eb82af5ccba06ae2bd9fafb8940077,1
"('0x38081e2c4fdf0587f9bccf98859b1f7945c6febf91059dcbca4e7c29095b0ad7', 18)",0xba9d8356f72ede554702c5d0ea3c48639b17f3e5,1
"('0x42030352ed6b44b2b8c1f0b667c7aad1feeb374e99779090fecec60cbf819ccd', 102)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0xb6a2fdbbe51f7cd54124c032bfa7078d085f4b8e0619da1ad30de09e6015e3ee', 18)",0x1b444a6e806940f429b79555fe578a1738f8a21e,1
"('0x57f35987bc866e813cea51dea22473d62137b9bd622cdb4a66b7b7b1fd5bc42c', 12)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0x46883099f5e1f80ee51f915140caedec2fca52bd5174ee74adbb8349a65046be', 108)",0x2dcb633537dcfefade5dca5defeca5e667a9d14e,1
"('0x53a76821a7201b084767aef820408ec7eef64494f3fc4d3b20eb3a714b5352a0', 7)",0x0000000000000000000000000000000300000405,1
"('0x46d4dcddeb6098ddaa13183540fca4da5a2fd388e0e113cfc889f0ff5cd0a08f', 1)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0xba2d0ebd1135d83f37a2e040ca05762f3c490aaaf0f8a476f07f227fc609bb09', 2)",0x5aecb3ed16ec25395dfa3311d19dfeed3d75b240,1
"('0x2eef59a18cbc417fbc45af6d4cf171afea3674bbeb32de6531371073465f43a4', 31)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0x366f6085871078c6cff6cbe43a443d3dff5f4941f736f85285ac92f1394cac3c', 137)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0xe65317bf3be006ef573bf6f705069c11df9a57d68c350f93929fd0e42334a88d', 59)",0x17a48ce80a7f7f3f774390179b1a404ce9c9a77e,1
"('0xcf43ddb684bf4d5317cb95babea8aad4f1bc5f5c50c4f3d589bf1db9f2d080c9', 11)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
"('0xc9d6dc6b801b99d8ef6bf90d7a369578d8805c519c31baf4100407f95c07a0da', 20)",0x72ce4e4eb0a6ed7ff09e789fd8d4f103fb6514a1,1
"('0x2292463c8b90d654e9a4e78b9f58bf82c6f84e5d11a233201a207984d9400a9c', 99)",0x9687ec962a3a3f72e2c3b7604c31ccc7d1eec84a,1
