address,name,symbol,decimals
0x000000000000000000000000000000000000800A,Ether,ETH,18
0x493257fD37EDB34451f62EDf8D2a0C418852bA4C,Tether USD,USDT,6
0x1d17CBcF0D6D143135aE902365D2E5e2A16538D4,USDC,USDC,6
0xf00DAD97284D0c6F06dc4Db3c32454D4292c6813,Wrapped Ether,WETH,18
0x5A7d6b2F92C77FAD6CCaBd7EE0624E64907Eaf3E,ZKsync,ZK,18
0x6ee46Cb7cD2f15Ee1ec9534cf29a5b51C83283e6,Kyber Network Crystal v2,KNC,18
0x2AB105A3eAd22731082B790CA9A00D9A3A7627F9,Fidelity ILF USD Fund Class G Acc,FIUSD,2
0x9a455D1a2b4630FfDb9A2307f2E875400d28B3c5,Binance USD,BUSD,18
0x770E221EC6F3e8A2E2E168399bb3aa56a63E397d,Matic Token,MATIC,18
0xed4040fD47629e7c8fbb7DA76bb50B3e7695F0f2,Holdstation,HOLD,18
0xBBeB516fb02a01611cBBE0453Fe3c580D7281011,Wrapped BTC,WBTC,8
0xBD4372e44c5eE654dd838304006E1f0f69983154,Nodle Token,NODL,18
0x5d0d7BCa050e2E98Fd4A5e8d3bA823B49f39868d,Zyfi Token,ZFI,18
0x3fa0883d44E59572D2F1764B74279468612678A2,izumi Token,iZi,18
0x31C2c031fDc9d33e974f327Ab0d9883Eae06cA4A,zkSwap Finance,ZF,18
0x405a7426277c288e963a9b6ab2c9e5e6c4b5f05c,CrowdTokenWrapper,CROWD,18
0x5165ec33b491d7b67260B3143f96Bb4aC4736398,Long,LONG,18
0x4b9eb6c0b6ea15176BBF62841C6B2A8a398cb656,Dai Stablecoin,DAI,18
0x3E9C747db47602210EA7513c9D00abf356b53880,aiws,aiws,18
0xCDb7D260c107499C80B4b748e8331c64595972a1,Karat Token,KAT,18
0x082faDe8b84B18C441d506e1D3a43a387Cc59D20,ChainLink Token,LINK,18
0xCafB42a2654C20cb3739F04243E925aa47302bec,Wrapped liquid staked Ether 2.0,wstETH,18
0x5B09802d62d213c4503B4b1Ef5F727ef62c9F4eF,SHIBA INU,SHIB,18
0x4E14EC08875c88f9B0Cf2A075F481EDa0143d1f0,Wrapped TON Coin,TONCOIN,9
0xe862bF1176a99E5aC9b693C1F966f266143BD8f5,Wrapped eETH,weETH,18
0x96e4069B746bD88Db76eE126acfDA537DdcEe6FF,BNB,BNB,18
0x1C6f53185061D7cC387E481c350aD00C2C876f3E,Uniswap,UNI,18
0x0e6d09D44F3A929d3030B84bFbCc9AE43F42ac8F,Aave Token,AAVE,18
0xfd282F16a64c6D304aC05d1A58Da15bed0467c71,Pepe,PEPE,18
0xac4DE1E9A9e83524F24af77972Dd39D588De8164,Private Credit Direct Deal0000031,PC0000031,6
0x680ACB73D85508636A5B20ab76780cBd7f7023A3,NEAR,NEAR,24
0xC16A041ad920B786EfEF3a0005D835d98DD110b8,Metis Token,Metis,18
0xd5428B08b604727c43ba5a37EeD25a289978d081,Arbitrum,ARB,18
0x122528C80166a74f608B2fC13c2c02C51F2e3423,Render Token,RNDR,18
0x73fF88BfB03d060fb63b374d5185A50D8E1423C3,Quant,QNT,18
0x31C693F80A0dD1021D6cb097d256585f37168174,Worldcoin,WLD,18
0xBc3DE055bdDc9466766B0EC79E0bA1Da112a832A,rsETH,rsETH,18
0x32Fd44bB869620C0EF993754c8a00Be67C464806,Rocket Pool ETH,rETH,18
0xc17F02Bd7f44A840A39AB41cf89AA831fE3f8a18,Injective Token,INJ,18
0xB171bafE010C9B3320C58C789A0AA4711c27b105,mETH,mETH,18
0xB86c11fD839faa1cE58Ed0c78c6DC657844978F2,Virtual Protocol,VIRTUAL,18
0x0675bFc3D1Fdc724663186F48a1Ce713ba9D3c31,Renzo Restaked ETH,ezETH,18
0xAA610193768223438866AD9e1973447d76e4Cf4A,FLOKI,FLOKI,9
0x046B8aBEEb504439816159131b1Cc1919228358a,Graph Token,GRT,18
0xeeF4848064ed7449fc8aC4b16b12529E17F60a66,Immutable X,IMX,18
0xACc3Fa3dbD28910C1CCb3B830b3ED0Da686bA6a8,PancakeSwap Token,Cake,18
0x5945932099f124194452a4c62d34bB37f16183B2,Curve DAO Token,CRV,18
0x5865F29a5A9D5BA8950C13506b014F1377F0b89f,Gala,GALA,8
0x44B809fb33C5f6B1737a3283adaeCa4aF27A8Ec9,Lido DAO Token,LDO,18
0x75Af292c1c9a37b3EA2E6041168B4E48875b9ED5,Coinbase Wrapped Staked ETH,cbETH,18
0x3f0B8B206A7FBdB3ecFc08c9407CA83F5aB1Ce59,1INCH Token,1INCH,18
0x43cD37CC4B9EC54833c8aC362Dd55E58bFd62b86,Curve.Fi USD Stablecoin,crvUSD,18
0x3355df6D4c9C3035724Fd0e3914dE96A5a83aaf4,Bridged USDC (zkSync),USDC.e,6
0x787c09494Ec8Bcb24DcAf8659E7d5D69979eE508,Maverick Protocol,MAV,18
0x5e38CB3e6c0faaFAa5C32C482864fCef5A0660Ad,Zksync Shib,ZKSHIB,18
