address,name,symbol,decimals
0x4200000000000000000000000000000000000042,Optimism,OP,18
0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,Worldcoin,WLD,18
0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,Tether USD,USDT,6
0x0b2c639c533813f4aa9d7837caf62653d097ff85,USD Coin,USDC,6
0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,Wrapped liquid staked Ether 2.0,wstETH,18
0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18
0x68f180fcce6836688e9084f035309e29bf0a2095,Wrapped BTC,WBTC,8
0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,Velodrome,VELO,18
0xe50fa9b3c56ffb159cb0fca61f5c9d750e8128c8,Aave Optimism WETH,aOptWETH,18
0xc45a479877e1e9dfe9fcd4056c699575a1045daa,Aave Optimism wstETH,aOptwstETH,18
0xd0cf4de352ac8dcce00bd6b93ee73d3cb272edc3,PCM,PCM,18
0x7f5c764cbc14f9669b88837ca1490cca17c31607,USD Coin,USDC,6
0x8700daec35af8ff88c16bdf0418774cb3d7599b4,Synthetix Network Token,SNX,18
0x078f358208685046a11c85e8ad32895ded33a249,Aave Optimism WBTC,aOptWBTC,8
0xa1cdab15bba75a80df4089cafba013e376957cf5,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,6
0x6806411765af15bddd26f8f544a34cc40cb9838b,Frax Ether,frxETH,18
0x2dad3a13ef0c6366220f989157009e501e7938f8,Extra Finance,EXTRA,18
0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,Dai Stablecoin,DAI,18
0x724dc807b04555b71ed48a6896b6f41593b8c637,Aave Optimism rETH,aOptrETH,18
0x6985884c4392d348587b19cb9eaaf157f13271cd,LayerZero,ZRO,18
0x6ab707aca953edaefbc4fd23ba73294241490620,Aave Optimism USDT,aOptUSDT,6
0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,ChainLink Token,LINK,18
0xedf38688b27036816a50185caa430d5479e1c63e,Overtime DAO Token,OVER,18
0x1f514a61bcde34f94bc39731235690ab9da737f7,Tarot,TAROT,18
0x6926b434cce9b5b7966ae1bfeef6d0a7dcf3a8bb,exactly USDC,exaUSDC,6
0x625e7708f30ca75bfd92586e17077590c60eb4cd,Aave Optimism USDC,aOptUSDC,6
0x191c10aa4af7c30e871e70c95db0e4eb77237530,Aave Optimism LINK,aOptLINK,18
0x2416092f143378750bb29b79ed961ab195cceea5,Renzo Restaked ETH,ezETH,18
0xc55e93c62874d8100dbd2dfe307edc1036ad5434,Moo BIFI,mooBIFI,18
0xbc7b1ff1c6989f006a1185318ed4e7b5796e66e1,Pendle,PENDLE,18
