transaction_key,attacker,time,victim
"('0xf790fd2ea06820da1cc2402446e8e09d0b567e6d693a5d9778546845a9b03ced', 8)",0xfc43aaf89a71acaa644842ee4219e8eb77657427,45,0xf111ed85e40931938bf0278e26176caa088e7cac
"('0x8d83ca92908768e6a45378dfc36fa17e995dded43e49637624d3be19e8a4df04', 8)",0xbe3040e9d6f5229ad10d96df5a112e265611b198,20,0xaf5e2b036784c758ee6dd655abd83259a0524f4a
"('0x992a51d00250cfd2b37187181a4fc66cb1c7b92591e8679d767a2a3f22f05529', 22)",0xdab1da56965b1aaabe38774e8b74c3ade8fc439e,4335,0x0d7c4b40018969f81750d0a164c3839a77353efb
"('0x0e3db8227a9daa150926ab4ed958abddee15aa8629fec195f3a599fa70990918', 12)",0x00000000ede6d8d217c60f93191c060747324bca,3355,0x42161084d0672e1d3f26a9b53e653be2084ff19c
"('0xf601c681c251b7884f571f9695f2b56a212ab63a00b2d4d20d0eca0e879bcad7', 16)",0x9c27d9ce9942a7a9bb1889cb5512874b8549ecae,324,0x9c23abb3dfdc67637930e0ec3d2705c5ea461316
"('0x777ab0c2fe8f6a32fc672ede173b102b2c2c760605a7b7be2ff1c996ef71642f', 88)",0x00000000ede6d8d217c60f93191c060747324bca,245,0xe5f8a81f072150701c25fba31c910884fa33098c
"('0x1d681f9311b6a87f5516f418eef407c728b20e088ea8d2bfa1599c317fcae3d9', 50)",0xb73fc1939843a2712a0a19f19b9c9b0debddf73a,595,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x8f8adc51553c39f03b72bd7edda3a7b16367d66e9e0f6fd1b6e625317e9dfc6c', 6)",0x1111111254eeb25477b68fb85ed929f73a960582,547,0xcf2f020eeee1c1774c86ea70691913ae5e8affcb
"('0x199d4de1a713ca268a2f6ec512a06a0da1f8a4ee70ff5073eb201b25b3550dee', 28)",0xb2c2c72f57864baca7bda6bcb5965ab8f58f9610,1613,0x515e252b2b5c22b4b2b6df66c2ebeea871aa4d69
"('0x2de74034d62cf293211d4da4568e8f39bb3ba84c39df354efc334fa980a5ff3c', 124)",0x9e8e9d6b0d24216f59043db68bdda1620892f549,1266,0x078f358208685046a11c85e8ad32895ded33a249
"('0xa73fdfbf5a8e6e165637622f3c5e3f11bc8004c5edc5b9623cf8b51431e7faa5', 4)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,184,0x4f50fa7bb23870dd3f7c3b0964081e9595ad9377
"('0x83c520b7187c3f7f7e734dc9994aa55d12be71f1c4a448d3f79e7ddedcd06b67', 2)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,2589,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x0f823f98fcd570db941f6be8bf6c94c72a69cfb0645b21b6ed9600958408c9b9', 6)",0x1111111254eeb25477b68fb85ed929f73a960582,865,0xcf2f020eeee1c1774c86ea70691913ae5e8affcb
"('0x85c92b108e19066f2c5014202fdc3339c992feaaf6d90ac3542666aec432a509', 16)",0x00000000ede6d8d217c60f93191c060747324bca,522,0x5580ba66f8d6dc71adb0ca1d1c6b3d142ff7aaca
"('0x2c8cddb99f8fdac57ed843076107737cc7afc3fcd230cb9757a471e37e45ed9b', 20)",0x00000000ede6d8d217c60f93191c060747324bca,1457,0x52ddc50cecf4ef8027f4020c1c99c384cf1ab314
"('0x462868da96a0e256c242a10fc710a93e09e0d4a1b6fcf003e596665ea5402e9e', 6)",0x1111111254eeb25477b68fb85ed929f73a960582,983,0xcf2f020eeee1c1774c86ea70691913ae5e8affcb
"('0x192ad6b08dfd3e9338d212c5d5aa6d9a209392ddcdfeb0ccb7e7f41cf34e7de9', 20)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,589,0xc873fecbd354f5a56e00e710b90ef4201db2448d
"('0xcadc82edef4874dbb7fa2a3042f7837433c94a948f6e8207683c04abfe3b54bb', 34)",0x00000000ede6d8d217c60f93191c060747324bca,151,0x3630b05f6d800b99d858f516362a88023c8e3c07
"('0x85ec934c23c5d0055efb8cd6a251ddebab6aeb5ffb786cedd12539b571483ea0', 6)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,975,0x4f50fa7bb23870dd3f7c3b0964081e9595ad9377
"('0xd1e79f7ce8768d5719d274f53b4a24a42aa317bd48b79ec056db037fca172efb', 28)",0xb2c2c72f57864baca7bda6bcb5965ab8f58f9610,165,0x515e252b2b5c22b4b2b6df66c2ebeea871aa4d69
"('0x64d97437636cfa8e32004d8d80f53c503eef78cd2752b67d598a0d596dee160d', 10)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,77,0x4f50fa7bb23870dd3f7c3b0964081e9595ad9377
"('0x11a7c6fb83f81388c3be1994dbfce79cefe45f5548fce995b08f2fa97e4d9681', 4)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,455,0x183aab63d21f2676a15cb8610bb8959606789722
"('0xdad6b0610b72c69f9e0fbb73af56d677436302ac477fb9ef245f251db82ff4eb', 10)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,2467,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x91a5b9b3250e9917dbf41cbd6dd21aaae18b70a93dfa633d6403c4fc07acf6d7', 14)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,868,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0xcc4b4864e9f8ced9dec99090b5372da2a7e82ca4de1f4fad40bdf09aac4f2d9e', 2)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,1392,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x9b63dbedd5890e0a984c750360f9510dd7f2bb2149b174bb253d684c99e4e475', 6)",0x5f033d4d786ec5592fdbb5b289000a2b9a466d32,2318,0x45fae8d0d2ace73544baab452f9020925afccc75
"('0x1cddf30a52e7f322d209ddecae0facd315644384e5a23d9d3a494cc7e41f9522', 0)",0x2ca0371dcfd910db4a29a73eaa6b00790bc29f99,702,0xf111ed85e40931938bf0278e26176caa088e7cac
"('0x7ecb0830399e4e9dbcf938e50bf7170af6a515c9fa977edabb57056480d06a74', 46)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,1369,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x1ee7548ec63d70ef0e97764ae44a908ec63a181bce8b5c0440c214ab4e2253d5', 6)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,70,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0x16c89fbeec35d9e802ff82400cdb2424a7dbee7927f7950cacb6e3e19937ac9b', 26)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,32,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x9ecc38200b216bb45353ca293296f7f44086ecd31c7749b7033dcb650b63d7ae', 20)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3651,0xc873fecbd354f5a56e00e710b90ef4201db2448d
"('0x5a3c6bcb81b67b75385fc86213b294e1bac6f0e0dbef3416c89c57c4e8cbd73b', 30)",0x00000000ede6d8d217c60f93191c060747324bca,1668,0x7bdcd9cfbea500175aa18aee56153d06e8bb987b
"('0x24ac89c2430ab7204220036c93cd404336eae82b7e34fbe322fb93cac02f9023', 14)",0x00000000ede6d8d217c60f93191c060747324bca,785,0xac70bd92f89e6739b3a08db9b6081a923912f73d
"('0x87ab94ad3552e68e617cd120ecda4316ae3fc9d9f2b3dd1ee1bcc648e100f160', 8)",0xbe3040e9d6f5229ad10d96df5a112e265611b198,832,0xaf5e2b036784c758ee6dd655abd83259a0524f4a
"('0x21ff3057b7d0e983191ed94b73f9dd86eb444e49b01a164623e6949702787f4e', 12)",0x00000000ede6d8d217c60f93191c060747324bca,1127,0x1ae3e6f4a7218e278b924772c6df88367fc23de1
"('0x950a6e675c9af6e4081818ac7d494b029ddcdd7b228c59287fb25093359ddeb6', 2)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,1154,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x698a22bddaa8a43346615963808fd752101ca8af1aa2e12424b3883a479e6ee1', 10)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,4570,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0xd717ae4e9e8682064eb18364d96eaa45a5123ada8f1ca6fb24fe83d073408737', 4)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,1086,0x59e3459a30824ec1f626cc19229db49d3b4dbd0c
"('0x5e502cd76b2bc16f884de69ea031834aaf488b1d8c5e6ec8d0c681d337993e43', 8)",0x000000000039da17e6661018b30a8af5119bde05,3866,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0x34bf4e8da0c275c68b5f9766c851c1c1d8a130c8d5d61683209abecd87ca82fb', 16)",0xc319d40debc476d266b102170642bc19343c1502,170,0x511fc7968c7e65417644900cefc39aeef8b4138e
"('0xf6486f02370c16585ad59e8f29f9db0096d38f5ff9d24f746f9eab087caaf241', 12)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,885,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0x4f8b20e22591b676ddefd6381773e32fd5bb73788c048c801fc3a91f7d1c0956', 60)",0x03a3be7ab4aa263d42d63b6cc594f4fb3d3f3951,869,0xf111ed85e40931938bf0278e26176caa088e7cac
"('0x452359af9379461b33c37d1c95a5037e76482a3f78ef41f971a11089943d9e4a', 4)",0x1111111254eeb25477b68fb85ed929f73a960582,543,0xc473e2aee3441bf9240be85eb122abb059a3b57c
"('0x396a18964e11ef5fcf72e98b95393461eac7c28565521fd0d73aca5a368910d5', 22)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,2251,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0xc1e2747c79442538be1ad138058b8df0c4cdc15a0bcaca1dd06d2592027949f1', 20)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3930,0xc873fecbd354f5a56e00e710b90ef4201db2448d
