transaction_key,attacker,score,top_address,victim
"('0x311c0a90d41977ce7de11b59741b4dec11c5804752f28485c842e3d818831356', 10)",0x00000000ede6d8d217c60f93191c060747324bca,8.0,0x0000000000000000000000000000000000000000,0x16cceae4037ae2db28fbbc8276ff493de44eb2e3
"('0x915b91a1882e780c05f2a6c3bec91b386bc5d64982819e59cd016a43299b08ea', 56)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x05a4bf816036482846851359af9ab94d1258095e06671c8dd5faf55ae1a7a389', 4)",0x0be4ac7da6cd4bad60d96fbc6d091e1098afa358,3.0,0x0bebeb5679115f143772cfd97359bbcc393d46b3,0x4f50fa7bb23870dd3f7c3b0964081e9595ad9377
"('0xe1afb1632c20a4a8acb9cf81879de4aa2304a63d7cac16d86885f5c1c866e594', 0)",0xf754394c0292c87a418e760f66b50160499ccb2e,3.0,0xf7576c82bf02a38a1655d9c32799949053ebb688,0xd2589c4061bf45a9a5212846aa72c2ed46377145
"('0x1e957fbaae2826fe422761b46ed79674ef3f3efd5b6c974332f56cc7bbfee340', 12)",0x00000000ede6d8d217c60f93191c060747324bca,8.0,0x0000000000000000000000000000000000000000,0x258626ef148ed92d24d229f39af947c04cc5fa27
"('0x425a9155a900df358ef43bba780f4f95e23bf8068f7d3847810860465d51f441', 8)",0x0000000000dce9a62708c6361f703ca0ae4b69f4,10.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xb072e14948344ef22dbc1661206e34468ce607a2e93dad24b1e3c01102b89b83', 22)",0x0000000000bf41eb500675cabaa1223e3c1ab90f,10.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xd5375c0c3031f30b73d5b6934f765df4c78904bd0838046702cfa360605e11d1', 8)",0xcfa09b20c85933b197e8901226ad0d6daca7f114,3.0,0xcfaba3994c45aa03e479000300801ae35b39c388,0xcfaba3994c45aa03e479000300801ae35b39c388
"('0xc026d5af8dcc641f23d697a826e00a69c4970c960ef9c7314e2fcfd830df8d1d', 38)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x3cecc9c1a629325bf58a35e894a12e5e097ccc4231c36088d510ff4f20971bb4', 62)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3.0,0x6a7b11e9375295ccef93dd06b237207a57c68d99,0xc873fecbd354f5a56e00e710b90ef4201db2448d
"('0xf9dc3b1865174622952177b8c1d24ebfccdec4a57d6d58c04db8a33a69a9dc17', 8)",0x2f5e87c9312fa29aed5c179e456625d79015299c,3.0,0x2f553b44fa3f8893e1ff87a46bcae276ead23970,0x63850f9dccfc839534d5dc69333403c90c10c6fd
"('0x04a7b754e1025802a7568af8c071a6b78a4ab5fd3c848003e668994141b923c7', 12)",0x00000000ede6d8d217c60f93191c060747324bca,8.0,0x0000000000000000000000000000000000000000,0xfe69aeae7371d53ccdd35e0be816af4354f62214
"('0xed511aeb1b625bb1743ff12f84b1f806c01ba70d8e0661d27de24783ecc0aaac', 20)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3.0,0x6a7dbffd83c6808651223efcaf7ea88161290e2b,0xc873fecbd354f5a56e00e710b90ef4201db2448d
"('0x41fe68854c269f92159e4764c1578d4f0735f5d71d8554a994a346f14dbf6a66', 38)",0x00000000ede6d8d217c60f93191c060747324bca,8.0,0x0000000000000000000000000000000000000000,0x34e2f3586331f63e04849d89ad1e5c3caf9dca57
"('0xa35dd2eaf26cfa07df3b71ec97aa5c55580e783dc4b2f991c80d430da6bebe25', 6)",0x4c60051384bd2d3c01bfc845cf5f4b44bcbe9de5,3.0,0x4c6102fbc49d98c0ddd7487b394753179f19f3eb,0x93bcfb0469fd7e8e855abe81e13cf2e0f0192e48
"('0x301438d049ecb32a99a10755502b7afc0b696ff0e1737fe49cf5b8d523bcfa24', 34)",0x000000000002733be21c62d22209523701bd6bc1,11.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0x38a6d35c03a7f90e10f8bc179d611a55f638d2f3cce4bd47406da47bb7f1c0f0', 222)",0x000000000002733be21c62d22209523701bd6bc1,11.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0xad2f79916a6e202427aca0f9ae8e2825f47ff3bcc793bcf0d6a6df92f0a806a8', 14)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x6646cdc039560c6ee485ae9e65b9087143a5f16a942580579dd0b2f77008fee6', 8)",0x00000000fdac7708d0d360bddc1bc7d097f47439,8.0,0x000000009002f5d48013d49b0826caa11f4070ab,0x5ac840fb4738c36467ac673e87aafa26c9397dcd
"('0xe15d0d0f6a13bb31261d05459c4b0d3429b71b83987b4c1ffcaa2d00e6e959c9', 10)",0x4c60051384bd2d3c01bfc845cf5f4b44bcbe9de5,3.0,0x4c6102fbc49d98c0ddd7487b394753179f19f3eb,0xe38ac25c72103c4f013cf161e1e819dbfeb7270a
"('0xff6ff803e7121218a02deeceec619a112ff61880ff48824186a8fd772f11bb1b', 12)",0x000000000002733be21c62d22209523701bd6bc1,11.0,0x0000000000000000000000000000000000000000,0xfb116064d4c72339971ec5394e41b5befa017f3b
"('0x87e4f670c1a45162a74410cfe41a26192e26b0251d6c3c994e26dde866ffb9cc', 4)",0x6a78e84fa0edad4d99eb90edc041cdbf85925961,3.0,0x6a7ddde031f6615bfaa5a52d7f8f4373479f046d,0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f
"('0x3378782e3a774c8bb4358674fbcc9fc98c2e24c793288f001da061e98be0d1d3', 54)",0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,3.0,0x09efd0d038dab6adf8436118dbd51b117b50d4f3,0xa67b4bf837b77da3d11aa1bb0b7bcdde995279d8
"('0x5c0c09340d9a470a33a365cfa710b8234c8a120a45a198bfb5d6866b52068f67', 6)",0xdb86e7fe4074e3c29d2fd0ed1d104c00e11a196b,3.0,0xdb8103283b8737f088948584f282da85bf87c034,0x4c4af8dbc524681930a27b2f1af5bcc8062e6fb7
"('0xf47f92f93ab3e949ab26f5f3abf455d2ff157e55060a7c5bda837b2cc6190d93', 8)",0x000000000002733be21c62d22209523701bd6bc1,11.0,0x0000000000000000000000000000000000000000,0x8356bbf31517fced3c6238503b31fffa22a8f999
"('0x89a0f343ea77f7e7800ac7a72012333d711e5581c82805cf633f5abe423f9779', 28)",0xb2c2c72f57864baca7bda6bcb5965ab8f58f9610,3.0,0xb2c11d190a5deea9250ff8f64d389be452aed79d,0x515e252b2b5c22b4b2b6df66c2ebeea871aa4d69
"('0x268f92870d5ff6e50b5622bfd0b9a4b770d1c0eb0818a2a0a6b5c67509ed15e2', 106)",0xc873fecbd354f5a56e00e710b90ef4201db2448d,3.0,0xc877d91a16a5fb483dd96a4a00ede9b240374a25,0x6a78e84fa0edad4d99eb90edc041cdbf85925961
"('0x0ed7851e374a761b7850731fd862d108f0a85e672cd6b3ffc911d69ceb5bde06', 12)",0xc5ec7765481f90acbcc61de0bb5c7904f2e63077,3.0,0xc5e906c9ba3e764e76d296f4d168d307279c677f,0x5057257a0b1b44be7d5a633f82868cac07b61b62
