transaction_key,attacker,time,victim
"('0x6e7130693983e50e426770efa0825e94da6889fc2f31a6b2d207747b02614a9b', 0)",0x80390251dcb87381b37bc27c794386e23d51d83c,25,0x85149247691df622eaf1a8bd0cafd40bc45154a9
"('0xc69fabd4976883ef7868009683b90bc84373bd1ad5039892094b82b19794d069', 4)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,93,0x2e4260fcb0bc5502cfc104386b423933830eddbd
"('0x7bc3b4838bb8ec9de120f3580e845fa74872eef4ce66698389186e32491a9868', 44)",0x03a9dc118b231480058e7a3b051042ec83663794,277,0xafea5601b0a894451955355e79ad3026515e500d
"('0x90f6d55ffeeda7dc11bd486bae1c43442d7e2b005576f6d8b0c7c2ac911f5b3d', 84)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,12,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0xfb2e120a167b1463f5da80b568d256f3405b1a78001275810421b708ad39e5e8', 0)",0x32f6c714ec487cb0e0dabb5d501ac803e2fe0f99,362,0x513c7e3a9c69ca3e22550ef58ac1c0088e918fff
"('0x58091ffe7c88d24f7ca33436909b24a5c99f6a6489665889732b3731ace2c41f', 24)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,54,0xa7bece50518d9d72bb7103bd46c352b16cd08201
"('0x714d0cbe96b07dd6305652db8e5c72bc175992bb8115cda3ca8d902d6627290d', 22)",0x03a9dc118b231480058e7a3b051042ec83663794,28,0xafea5601b0a894451955355e79ad3026515e500d
"('0x1aa4f4d795c6e24aef1fc283cc3f5dabb35f53c50133231a6a847687604b69d9', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,215,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x6e848ef18efab3aee09621943f099922e31c0b134f638648ff4f3bd5f87ada74', 0)",0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,108,0xdec38b0c755a7cd69d176ef0cd9d30a2a2a667b2
"('0x31fb9115c687fd95cafdcfaadd292918050c24cd81d56584640c2427a875f210', 76)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,326,0x79c912fef520be002c2b6e57ec4324e260f38e50
"('0x60bf2fadab3cc844abcfead069560345f28f6b839a772afe2b7e104efba3fbb5', 12)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,10,0xa7b2395a14269e3d79952a378a597e94768ddd16
"('0x3065996c6150e75a884c31247524778b61c541e12e848e2951dc0041f85d7d83', 64)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,4,0xa7b9b0bd1ca59a8012be4663bba0203d5beb7303
"('0x287b91d65bd709c202de09b500e5ee1dffb2184be9012d58395c8384f5b2299e', 16)",0x55dccde11777c699b521774073c4736344797fc5,314,0x73b14a78a0d396c521f954532d43fd5ffe385216
"('0x94c27756d2cc531885dd07735144556a698507ec14062a84409df0e8f73a4ceb', 6)",0x1aa298ae7c53d8dafa200ed49608649bfa76a446,10,0x1aa9b4d9933ff96b2011fddd764240d4a16b7c07
"('0x0e48bddb0fd1ee76b0e3e507e5737968e04e9f1de89d80859a685533eccbb743', 6)",0x57507436bb75fe9c58a3c44f3b514df3a3f0fcc6,172,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0xb9af5d8b7d9b06ac5f3bc580412a78e5a9e497fe96419a596d626cc98a77cbb3', 50)",0x03a9dc118b231480058e7a3b051042ec83663794,53,0xafea5601b0a894451955355e79ad3026515e500d
"('0x039da238cabd9741f74e2f163090b322b30f914e479b58b671909f95206d0059', 10)",0xdef171fe48cf0115b1d80b88dc8eab59176fee57,302,0x6da98bde0068d10ddd11b468b197ea97d96f96bc
"('0x4ce9c62c8015b558cc324287a522f1a8324fba1ce9711778dad3cca694d3753a', 66)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,570,0xa43742420a1449e38b05d09e29b027cdb1347780
"('0x35fa67755afe3c737ee8da76728c938988512440696b2334732e45f31a03fcf8', 188)",0x73b14a78a0d396c521f954532d43fd5ffe385216,114,0x3040387c46e21b453e4a8f648528368b9066628b
"('0x966e31e2b54cfd9cee6e01f4db8e3392be0fc91a170df335f2ea16fb62da923c', 30)",0xd1778f9df3eee5473a9640f13682e3846f61febc,288,0xafea5601b0a894451955355e79ad3026515e500d
"('0xc3288b78ab2113646ef4083f90ac07ffc2d5fb6c28bd3531e0b59756568907af', 34)",0xc291cee6c19f8d4d8d3f6a452562d9ec31934529,504,0x1ec50880101022c11530a069690f5446d1464592
"('0xd6fe9f26b73ec204c54b7f947c42f550bf6ca23513fa45f85ea27a97f17aa817', 4)",0x2e81af33264e8709a453b9660af5c6ff70f50343,53,0xeb94eca012ec0bbb254722fdda2ce7475875a52b
"('0xec718efaa5cfb81a3a549f2212d96f96997c30832045693a4f93bbd38d6a089f', 0)",0xc5ec1ad08eeb0d9ad727a16ea27bf974b8d5a07f,137,0xf1f199342687a7d78bcc16fce79fa2665ef870e1
"('0x03670ab8547e2973e6a77a52c80e4b12c026a35d252d3de3689b5dee63a8e51c', 12)",0x0000000002f4dd78ba85fe4b662983816c9ae95f,307,0x3ee9cdceffcb7ad611b87cb8e0f0745188330aee
