transaction_key,attacker,score,top_address,victim
"('0xa193a6d79e59ba5539d2d8edca4acf1b56748ca701ad0e2415f83d57f4374e36', 18)",0x5d35becbd53d673ba5f87630d9b6e55e9eb02dac,3.0,0x5d3370716cd15840460a1c3d37e0e04b1460637a,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x210e60e05ce8d1177e67e8da4b2509aed30c6891bf42dc5e775ed72711f2deeb', 0)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,3.0,0xa7b3c0c75c7b1f0d2738f20ebc73e7514e457256,0xa7b3c0c75c7b1f0d2738f20ebc73e7514e457256
"('0xeae5ee9b544fda4b9d93c1ea37f3eb0ce5d9e2e84a02a295b500f2996c5df760', 80)",0x21f75b66fe2e3a18ebcd6d7524733e9c70362373,4.0,0x21f59001e8543fbd84fcacade38b1a06274f0ca3,0x77b6d0279c9cef559ef7c32c31d9a5d8acb664fe
"('0x3acbd67846a44f3b99f4a9a2e753fc5d1afa89b8b06ac0ad37c154d5c8eb3afd', 0)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,3.0,0x86b9424bc9d87c7cf6c740900bdea13731789ed5,0x86b9424bc9d87c7cf6c740900bdea13731789ed5
"('0xab49161737cee2f548e70c580ef4540758693d5acf6ff4ea342e8a12f8983fd6', 34)",0x0e9faf5c0546e2ebfa70bfd23d805613a6251d2b,3.0,0x0e9b063789909565ceda1fba162474405a151e66,0x82b3634c0518507d5d817be6dab6233ebe4d68d9
"('0xf3c3d62c09bd55da1ee4af6bc8733bec7288dbbac5d812a7717e67d4a70c72f2', 8)",0xeb222891e1542b1bf39eba57905955917ae99649,3.0,0xeb2cb75f4df2fec1d4214fc7792ca77567c32362,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x07c57e42bc767a96ba22581fcec88b5696444462e4492068147636379c182d05', 4)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,3.0,0x86bc05f0eaa03f5f866250004b5afd9033a6267c,0x86bc05f0eaa03f5f866250004b5afd9033a6267c
"('0x0230e38e4f02c2ba0e696eac38897e3122f3abebfb6007c7124d2852b6b53cc3', 6)",0x4bc3e057e32cd8101cbd6a3498e3bfb9093d121d,3.0,0x4bce5070bdbe1bebd730469e28d80ad73d67201c,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
"('0x457b44550b93e5240500cb5e5d057ca425608588af52346e412e1b9374d69155', 4)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,3.0,0x86bc05f0eaa03f5f866250004b5afd9033a6267c,0x86bc05f0eaa03f5f866250004b5afd9033a6267c
"('0xfcd314eb84abd9641746beefe7f8d8992893c7a167caa2536a65354f007a2994', 32)",0x2d991e41c35023ef521039234fea1fdb211608e3,3.0,0x2d9442ab180d325d277c02a9ba7f3bef1bc45578,0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47
