address,attacker,score
"('0xb0d47aaf22ce599431724637f321fe4aa8450fdf16f9116ca1d846d6db9ac66d', 46)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0x808106a809177ba28594e08cdec133e2afc6248d293b0532423b0796894955a9', 20)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0x99515adc12a057e8573d1dbac023cd6ffafa0ae51cf5400bfabf41bcea93c43f', 188)",0x09baf523fa670a671407634d484744d6a597c18d,0.5
"('0xeae5ee9b544fda4b9d93c1ea37f3eb0ce5d9e2e84a02a295b500f2996c5df760', 80)",0x21f75b66fe2e3a18ebcd6d7524733e9c70362373,0.5
"('0xf7fbb576282cdac11b24ed57f608d17a730f80bb71621becb0a58fa652b32db2', 20)",0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,1.0
"('0xc03576bb1e711b294330adce8de86ef360c75243ce400d674de059fa9299f0a9', 14)",0x158442e9db13ea047a248abc47434ef84ec1aee1,1.0
"('0x8266716f789ac767fdd88f4799f4e1ecdc5540a11689d2c31c4bb37cc13200ad', 10)",0xac651b17b5cd6255358707bd338fadca035c45ce,1.0
"('0xdd7aff096488d98f90612b7f69fc774fbc17cc49181c223e8c365880d87b610a', 32)",0x1111111254eeb25477b68fb85ed929f73a960582,1.0
"('0xd6fe9f26b73ec204c54b7f947c42f550bf6ca23513fa45f85ea27a97f17aa817', 4)",0x2e81af33264e8709a453b9660af5c6ff70f50343,1.0
"('0xeafd1f9497b11bfa85a50c7048546e23046de3a1f0e3b37a58661d38dab100a5', 90)",0x73b14a78a0d396c521f954532d43fd5ffe385216,1.0
"('0x41009f1b6f54977a261468a09efd52ebc9d360c51a5076af8d699472f73647fe', 0)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x249e02e6659f5094abe69d8fb4cbd1ee754455383a4fb6c8ed35e8d143c5ccca', 14)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x49ad7d4c75d8066f82090e12b04b5935ccf5dd6f96de0b95f15c5f7ec333f3c6', 30)",0x382b71173f4fe935a995ce9865a7e1834bf043b9,1.0
"('0xb57523053c34d4b0ee45b2dd33e1169ad5397b8158bbcd6c25ad3ca382519369', 242)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,1.0
"('0x6aaa95507c87c636d1f15ab7e778e21b5970c55114b755e3a5801eaefbc53f4b', 12)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0xba63b2741fca86c81277f784f5d1b70c6579b2d6c7055a2846fb56add7e975b9', 6)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x1449f4e0949d6cff2ee7529db111e643a848454187bc58f3bfd9968e72835bfb', 174)",0xa7b0796e0ec4a55c7d56a232f38af46c4c2793d5,0.5
"('0x19d594c0c35e279005cb60d7da87d0057cd82222ad735c9895d1e46cd35489e2', 68)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,1.0
"('0xb0cf45dc9a4f8a29bb2bea51f896409a87c377a9a993b0f485ed11e5d9dc25b1', 2)",0x4f46bcc9039f81309c8c64d2a1ae9af847d35f99,1.0
"('0xbac8d94e4097ecffffecd6d6103f022ab7618df4fff9f982261c2660740e5d31', 6)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0xd22c87db4d38055c6cb373dd5c5f7ec1f19f722445fa820490f3da708869182c', 6)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x9e327f0beb0df62fe62b8ce0ccda8ed00616b7c76778080181acd1b24a24b3a5', 18)",0x3f04078510f45fd27f243e1a4cf93493ee9d3303,1.0
"('0x015bd0f9760b0d8b7e2f760c6b0c6ed23ed64501de0107488bb5b72f9963feb4', 18)",0x1111111254eeb25477b68fb85ed929f73a960582,1.0
"('0x8952acfc4118005c002b8e8ca08419dc1409f57180f14ec6b653b0c860839e6b', 14)",0x1111111254eeb25477b68fb85ed929f73a960582,1.0
"('0xe8786ca6c5cffe38ff167f44aa329dcdd634a821c7e1860afc185158dcf489ce', 32)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0xc21e11c9cddfdf63ab40eb7c5ebd82f49e7c1170894e9a51a2492ceefe34d9e3', 152)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,1.0
"('0x967a58849b66084a3213dc298191bd7bcdf1715c2d5edeec3b5bbecfc2ef8275', 12)",0x4140f84e41c46f78c2c05c6f7b0fecc064456409,0.5
"('0x6289db8ca5c190fd0085b8a837f989be16f88dbbf138e872e8e8d29e13313da1', 8)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x25723481e776d303a022cca29746ecd4eab4ee3107bea07143eda8298cdfd523', 4)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x9a6a1e91b0f274cf18c7f78a6a6667cb87db7a0e6eb8eba3e487d2f754b8ff3b', 420)",0x62fb4d4046396fac43069a59ed379d52099ab842,1.0
"('0xab3aab44190460200ec8366217f4a54eb162116d117a6d9c008788fb1add0890', 22)",0xafe7020859f95c0e864050374956a47cd5bdfd73,1.0
"('0x79520210e561e1f703086f8a27627a3c3bbc39fb4853c28016eda9616b54ca97', 14)",0x1111111254eeb25477b68fb85ed929f73a960582,1.0
"('0x71a6a1ee9fc3517573a44760da6f8cc1706a38f385e852b2252084b9d6d54380', 18)",0x1111111254eeb25477b68fb85ed929f73a960582,1.0
"('0x5e0ea13eb37c71c35c4b221f097beb221f4c03e8a67f3385f80562061bfe561d', 78)",0x73b14a78a0d396c521f954532d43fd5ffe385216,1.0
"('0xaf3a5a3816f9e1a0f4548d118d6f882d79d7d9afefb161409b25917c2b891885', 14)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0xfeb73ccc2c7aaa3b11e67d69a3157c9867dfaaa59cb270f7b2da52fd0eed1ee0', 134)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,1.0
"('0x3c345033a3419429ce48fc113e98251c0a31c93733768bceeb8ea7b2a389d601', 46)",0x00000000063e0e1e06a0fe61e16be8bdec1bea31,1.0
"('0xae0692e06ae7768d18704d3f6855d06f9d9253f34844e26d86767b50a650b417', 10)",0x4903515cca3af0ab9c5e79fe334815b31039d411,0.5
"('0x75d4159b5622a6e7d0da35767dd155a764ee2022a45cebaf5cc3c9163d13faad', 2)",0x98b67e4c530c4ef15f884710a7c907027bd362e7,0.5
"('0x7ad1d6f52f3fe3ca313caa88aba68b3ae79352c0ca944ec3a4f45caee3568ec4', 10)",0x703d1c522d8da5071307b58377607fbc669375d4,1.0
"('0x351e93f50158fd7db2b468b5002baef62d5dbcc0297b218d8f50a6867f381946', 0)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x5daa29842003031ffc4b6e473ba20cd45c30cb85dca87d5d630fb79740c199cf', 126)",0x3c6c651437d22dd4fadfb100bbb818b4b2fc7d6b,1.0
"('0x63df5297bbe97a738d3294a073795846cb3ef027c834c34b1efa17f719ac5733', 0)",0xa6df8dd47be9901ae6eb188ba24d01aebe920a9d,1.0
"('0x768462630a6be66ac5df76e17510ee8b491fce3c787a2751bdb0b30d2633f0e2', 0)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0x4224d46b622d95b67c465aba88d6845cbeff16f9a53875386a5cefe088e3b30b', 22)",0xd5dc9d611b2c12db32a760c7c55b680d4952f36f,1.0
"('0xc78cf2e61e71d06a0b4c7c26da159ac7e316c85eb5247664a1b555cde4dc3a40', 8)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0xa6ac2853d1638283713c172bc83b4f9de332bac29599769710e3545444e1573e', 328)",0x03a9dc118b231480058e7a3b051042ec83663794,1.0
"('0xb366c4067a06bbfea0a7f42e65ebe0b643b815b4d4c689004938480a10de1c76', 4)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x7f5621a2de29d1e58d48c8281447c8d7b4cdfd3ab779bf2ad0aceb99bad30000', 0)",0x053980eb61eea0357e906e6714abf923ef0328fc,1.0
"('0xd853abad2307ac72b03bcf2d136250707fd41104eca4e951836b15beed5db500', 8)",0xa334a2f290537f3ab717505fd8c222ab4fd1c32a,0.5
"('0x423678e7e675e5dc04923f7004747ea91daf8cf0a082011f2e85a4e19de30dcd', 224)",0xd5b4ad91ca2a9ac9f95e4861c7b98b7c478162f4,0.5
"('0x457b44550b93e5240500cb5e5d057ca425608588af52346e412e1b9374d69155', 4)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x60bf2fadab3cc844abcfead069560345f28f6b839a772afe2b7e104efba3fbb5', 12)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0x5af313bb6f086d466ede2ae0c6dcd3c7bb4289e4413de94ba40a5ee72cb6932e', 6)",0x7244ee91e38bf78d587c55cfdb7ee9eafc98c206,1.0
"('0x409dc2df0214465151cc205f261efdae7a8577ecb4927eec8c0a70e0c6eb3844', 20)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0xe2ba91ffee057df83e434913d3680912d80ab691a31d45996655f603f89ba344', 22)",0x0000000002f4dd78ba85fe4b662983816c9ae95f,1.0
"('0x7f1f72e01d6f79c62afa424bfa9b2eabf6a93eb21f608fee34027711135e30c5', 0)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x8a2cb3ff21584e2cfb43efb7f00365bdefb0faa968f37b1a7235a64206908ca1', 30)",0xb2a392e86109f96298ea0547902145cd97b7fe75,1.0
"('0xc57fa0f54e78f9623817027b356981616000233bbde5c45dde3fa566b194a444', 46)",0xa7bb0d95c6ba0ed0aca70c503b34bc7108589a47,1.0
"('0xc72a5e93658429e4947c3538a77d325c708c0e402817d1e51093fb4bef18ffb9', 2)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
"('0x4d34100d004d994ac16e0d76544266d201402f2f325fb32b33a39e2b2a9cdf4f', 72)",0xd1e16455327e759e6e4152a0a1b59b639829525f,1.0
"('0x53d67c8f2d089bda65bfc75cfbc083b8d9f1df3af4b45be16404fffbe7a540fd', 208)",0x8e3b66ed6865ce6ac5a9c64e5099e86c7cdab6be,1.0
"('0x1a1830a6cd03f632d49db17421818c532a1a1b3574782e6a043a65947edf3a57', 28)",0xa3128d9b7cca7d5af29780a56abeec12b05a6740,1.0
"('0x639f61e6bf7c8192589faec41f82159dc2015952e736a53432a7565418632ee9', 14)",0xf796de681d9d0603ce6e36d01d168d081b0b7970,0.5
"('0x117a081700cd63c83c39cc1878fc964f346ce034ff8df1a5bbd7a1daef54c5cc', 16)",0x03a9dc118b231480058e7a3b051042ec83663794,1.0
"('0x1764a8ca933a3b2c08a96e7fde203c9fbd841abd824c4c8e2ba75b7cf76ed9d0', 6)",0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,1.0
