transaction_key,attacker,time,victim
"('0xc1aafb4a05db6f0dbecf5968275e9d8c107cd882dfe4dba8a54632045eab4030', 40)",0xe6ecb1524537e8d34cd5d5391ef86a3abf222ffc,77,0x20958ed81d32f79fca6eda9a5364ae7908a60d5d
"('0xbde23f8d31eca19e764ab2abeb362269a9ca861cc7acd7fe0f49499b842aff95', 146)",0xad9413ae52a6195fff6edae6b04481815b297f9c,18,0xf8deff9cc02f3240b47aed0a6bc4e719a0dac8eb
"('0x64cc0f9f8ed06e263646b6ba3a90001437eaa7c2c9cb396cbdb209b2fc34cec4', 8)",0xeae0436a671442c35d8cde1c28cac580d56b4f35,22,0x201b9ff91949b5e83e47e6a40af6cabc57fe1018
"('0x5de72d916717a2fc43e7a8a4fad4fed9040853305c372f05c72a29a9dd38347a', 8)",0x253ddc4190da25bfad90ece8c42385bc7ff7492d,40,0x736c0116ad3a29bfbd378ce41f69facf8dc4d059
"('0x428704e92dfdfbaf1c04a1d5569a07b942a751dc26e5639035883d52f627af9d', 28)",0xacd0f92f800bf15dee56a1b4c65c6f7c288c435a,17,0x16e1dc9a835296be05131f9a3a0290fed42105c5
"('0x0722c0bcd894a392c9bbae6ddabde0ea39815fc510ddafae0b3760d5d0190113', 62)",0x4fec3edf599ac9703a3eaa54cfc4e625fce9cbc2,3,0x8d6bff283e51424ac565500755b0f6f20fc9f311
"('0x42b8043b2cd9dd92c3db74d18704f5710e6604737c2762895ca6730b0a52289c', 4)",0xacd0f92f800bf15dee56a1b4c65c6f7c288c435a,2,0xfe398cf407af1b5675658be59cb7d5983a55214c
"('0x376a5ff0aa7830517550627db437e17668ad6cf75e2ce73a253eb1c6d3856c7a', 26)",0xeff68c58c24ad61b2c8af5da8caad62a5f710dd3,6,0x53774f751fcb958cc95b9f39a9e27e5fa47d263e
"('0xe2e5fae3348085e765bfd87ab55c7c9016d405b01ddc433cd66ef952a46f0728', 0)",0xeae223b2e47bfa138f0fc7acc76125eab6f3a4f4,242,0x55697d6ef379c6324e41f350a3db4ee19bab82a0
"('0x2cb05b7f03a08297d7660c52a12cb14ed9aa53c440007f09049602bb9550850c', 96)",0xb09b91485239e08b7f02b2f282165be04d0e577c,54,0xb09b387cc2e8bdfb18b7721cb3f52d6af67e577c
"('0x77726d71dbec3f77a87c544a9546e6a3c1dbffcd6ae2283e2514baaaf50ee6a8', 6)",0xf89d6b028237c67e5b15b6bba95732126ef5aa40,214,0xdbd56b0d290b866fe701f56c74987f87e6105b5d
"('0xf9135ff2c8bd694c17fa4c7b417edf29af75823886c23099b19e4678114abfcc', 16)",0x7dbb80ba0f20baecbf8eb429be93baee44c81f90,12,0x513bb587b14725c4a9c2a7ecf0f76de51ea73f51
"('0x3d4e90299dcdb4c9a13a258509e9b80567c9398c929c8c376965534af9c969a1', 26)",0x41d829daa2cf7c7c73fb7426c2bef526297b87b3,10,0x5d12e347d8a160d1779c13c990b21efe1ea661a1
"('0x627d67f24c461cf3982871a9743fb2e995c4faab06b5bffc2acb6c2cc7dca1df', 2)",0xebe857c247baeb8b1ba133fd6ca7ea0e10a62cae,1,0x284d1680f0ac88a77ba67bea59747f318798f5a7
"('0xfe830c19f1121f91e8d5f76a0094145142da36493d37f17a54fb0381ff07d5d2', 4)",0x6cdaf0765dec58784d795d12a7a034352afb1f00,1,0x641a2b65f599a4dce0a1b1b20f7d583fb0c1ed0f
