transaction_key,attacker,time,victim
"('0xe131aec054d735fcbb4daf6a3c9205dd958a27de4412f3358a4da308d9ee8a36', 24)",0x8855619c3e412327ede172b8e3a423c7b7345205,13,0x7b93db5c60cd0a352ea337ae8bb9655587e264c0
"('0xcbe232df43603eb7beecf4fb2c2a056de3a93e9349110b8799b3140f0f48f60c', 56)",0x256d0589204d14fadb356ce4675b0e5b44c5c11d,96,0xe6dc5a0e07e5514a12cd97a08b8b0910e3ccc886
"('0x8944968cfab757565d721f4dbc6f6080025bf80f9122aafa609b66e76c63f2e8', 18)",0x93ce1deb59d16144919020c7c3db62467f77f061,159,0xea748dc67100043cd57f2f666887ff5a72642906
"('0x4830a8150f4b20229117205462c65dfb463b2fa1e1083db930e01f048bb8ae12', 2)",0xb5833db3379abba68c591645e5df1423d56460b4,157,0xe2fb92f9e51c123dc9096e5e2db054cbeecc219a
"('0xe46f95881242a67c6f1d642f531cda73ed1051a5e4f01c900d5a43748bb9e0fd', 28)",0x5faf206c3ae7436388dd244d8cfcda0aa3bab401,12,0x615b92c6ed27806f7478df36972e9e6c95b8996b
"('0xe8c36659b8b4ac669301bebf1cc5b7dd34c28e5d4ee3e8506e226e4fb471b2aa', 20)",0x92c123f56389f62f355fd38187aa62a6dfa4371a,40,0xcc67d99e35190200ecc0041d33ba02fd00e20386
"('0x596ff9d62d5555967888fd26c70fce1e2d632fe8d700cc3998e4495203b71da1', 38)",0x2c5399d51541d2e4a291bae858d604fb5f80e7e2,18,0x3beaeb062e96b79426ca11faac3226f67653029b
"('0xd2449ceb7e71c24ab1d995116b1f0dd384581e57ebc95742fdd01aa2c6119fb0', 80)",0x8867884e9a0f6dbdee44a2c3b019b9d9d9493188,3,0x76cde573e9f4513d2dcebe0162b2df08e6596c7d
"('0x011fbddd93303eedcb837536d0c9778005fc4108fbb803d1a0b83083dc4d16c9', 0)",0xb5833db3379abba68c591645e5df1423d56460b4,544,0x5f56f036b56cb1182913e32e9e14def2b217f3c4
"('0x9888010d6492c3ee9c514b71696d44eaeb4f6e2bec7ece1f724dd59aa2fe8290', 28)",0x12cb11458050b66576d6827987f351edee29264a,8,0x1097c41f33dbc7ebc7df12ead20d57763dfe7963
"('0x2e3663e4931b50ae983a0a06eeef1a9969ae0b2e14048f23607cf629f76930c2', 16)",0xc837b2aa3755c9fcaafdff6a39690b7a68a41ff5,74,0x7fb61e0bd4fd695dcee78d6340e5c93c1a08ea3e
"('0x184f495e31e3cd7d90c85a4ab2d5245465b6875353188dc0469c983c5b6103c6', 48)",0xee7b754d4e94cdab98ddf61006abb6f7b3657aaa,40,0xdfb84624d58379906a7f059d5b3935804ecd30d0
