address,attacker,score
"('0x12e3745c4ecdb508f5ae44489701699920683d81b2697285548fffc41db0aa96', 212)",0x4fc3d6700129713a1c9777a4c43008161ddad7b9,1.0
"('0x3875b44e5d095ad0cb34be4aca9c0e02129e07d4a0ccf71a0e47bb96e1307d4f', 16)",0xa0241e1f1876590ab92a101f55d5bc66967361f5,1.0
"('0x312fe24d9f8ded428ccd45419763c8e8f1546b2a2e8eedd23c109a674d7c9d0c', 84)",0x8a1bc485bb75172adbc252ec77cef811b014db6d,1.0
"('0xb17886594f45c1fd30158f0f0e04c085946836be0ea322c22d79dec572edb9e4', 20)",0x1750d1a5838fd50cea26bccf390f383488f0a33e,1.0
"('0x877be5eab45bef34f95741898062a4a515a69b878db5630ed649fa9b7222512a', 28)",0x783e01458be31412f05d0a8eeea4e193dc481020,1.0
"('0x3e4b0190f212994c0de0bd0b451775c11ab1a5327f97dd9962f4362c767e1ab2', 344)",0x5867a19304babf59f2e917ddd3d159a47aeceb22,1.0
"('0x32882502e88f603327b2014b8243450e5389b0f60297fa0e0b8724d6592ed548', 530)",0x1f8ccd469cf29dcc83b01014a67b090d99bb6d81,1.0
"('0x01e86307f439f29c58ed7ac3f908ddfd12336d7b4520a6ea2f3fa4b6af7c026b', 10)",0x9840aa2591fddbc8f87724eab3c8e41a70ab81a7,1.0
"('0xe00350c16ab12752b59503a1ab556916a9d0b6768a50159950debc49cf0df952', 110)",0xad47d7e9afbfc32989887e58b0665ae350a2cf19,1.0
"('0x24fb16f9706fc54e39565f6460d6bd4a817b12c1d4a08ce69e1469d6ae82a593', 64)",0x4263679d8a49b9b321bc3612338b5c6e759f297f,1.0
"('0xfb64038b6b4e88761cf2eb8891ded4a2f4deb6e980790629c85f9040016f1fef', 608)",0x5410b7c0d2a254335fa2a737656929917832bcaf,1.0
"('0x78bfb71ea463d46391f0bb55254443f7a3294d7e1ff9b32a877053d80dc3c85c', 82)",0x57d1b8bffbdf45b9336c1c59f2eb91fd69572e2d,1.0
"('0xb59ac22190f1793fb139ecc6304f9d212357e72c9405ee8759bc9ec46a82869e', 20)",0xfbe5c1134e31ba32457cdae86c3f5fadb521daa7,1.0
"('0x65ae7b9040fe50fbf5db0e727af1777957ac0684f628f8a2c904e0eef0368012', 140)",0x06b0f81ffd0cbd7c468311a01dd2ea36a6efd687,1.0
"('0xd997fa934cea505d40b22fba8d10320ccdabfbcda836e403cd929f67bf9df678', 232)",0x18c45f5d365df128457362a37e609734090bc299,1.0
"('0xf32dd9eb5f6d4c8c57b229f16b7ad41ace291264e9614bd5ff37b61e0e4e605b', 74)",0x6a9d976031aab259404d13bb3e07ffeec64e2258,1.0
"('0x93b8193e3ce630e49e4d6246a4f6ed63fc9644f49219a149b210583e4d6dc0cc', 4)",0xebe8f15e05bb11528c96d66e57f9626f9dfd2cae,1.0
"('0x27c69cbe5b9e7e09db20ad52208f3334865183937161ef355b1b60bc34be8f1d', 10)",0x0d07770650455801a3e582be1585ab2f960a92fe,1.0
"('0x345d3ef8b528b8c78ad98ac1ce1ef6d6b766837abf710efffbed76edacfd53cc', 66)",0x182329942bfc36562618c4c995d28b76a3d9371e,1.0
"('0x86bd74925c9878a3aae8d16a7245a39ace36d6761231e76a932400e6ceb611b0', 16)",0xcdff94e25f934571a01ab90834f3ac58fec662e1,1.0
"('0xbc6a825185f770cc3892de6b0418979194b20498669f8755f8f27460f1aaff57', 36)",0xacd0f92f800bf15dee56a1b4c65c6f7c288c435a,1.0
"('0x1ba5027843eca07248b48ce47bcb530d53940d1667a572f1461a4e5a1b49f3c1', 6)",0x78ed6299611af1fc2ae89efdbd1aa9d930f3a760,1.0
"('0x071b788900bc8cc0556183c547013a5c99926372c31c4c5ff87b8c39c476a1e6', 154)",0x3064bcbe8d5373d39c2841d1eecc0db36041e6c3,1.0
"('0x0b5bf091a77d8101efc815a15b33d755e0013caf29c312f3a2affd4ee706fa1a', 20)",0x8a1600b0c402272d6bb11fe8cc799e23df15db6d,1.0
"('0x7fc1cde2748d23305d368d8a61e5055172584247421a785afaa61af99512af8a', 436)",0xd3e3b0891d1ef8c10289151e3d9444c376efe3f4,1.0
"('0xd48be1764051df7c81fd4bbc41d83025b40ae0ccecedc34a2284a87c83d507a8', 66)",0xebcd6aa983dcf44740bb17d194bacb0811b998e1,1.0
"('0x042e451165c43e9ce1fbab11334e99e38ba0fa543bfbc0c0778a5ebce736b2ab', 282)",0xcc21ac6725653e3abcc9e92a395e99dd558636a1,1.0
"('0x80044374abd5a19817ec00ed8c594cb2d1686397024daf000b5608d4c18c0c4f', 34)",0x1efa5f9fbd66ba8c590c705480d507dd41f336ab,1.0
"('0x2a17bfd92292cf6011c16466b7e46d9a9ce13f24b6c50150e717cb30c59febcb', 114)",0x0d194696e4c12dc9dc61373c2c020f5559bee076,1.0
"('0x77f402b6e595c8914ceb75a2a4cdb3eede2c80844ebf04df6c595490a2c1b72e', 16)",0xb4850d9f7118aa9ebc83d9b2857dee45be704cd9,1.0
"('0xb0086b6c208961c662aec5617a548e2ee40b90dde6baf38ae538967a96801950', 62)",0xdf907d1ad66b70edcacd4d4c6ec36bf92619b945,1.0
"('0xb3ae8c3cae9a5ce26321ceafed243445f7c2732428ef8d6298a677e5433283ff', 250)",0x2f8b2c4ff3650f403e410c25efda251a9610fec9,1.0
"('0x635d8dff04da2295e64ffceb9c1def56f23d367a0f5e6696d48f90d07d4d6457', 10)",0xf89d6b028237c67e5b15b6bba95732126ef5aa40,1.0
"('0xd7243c03292cfefbe9cf77eb5a01848d62592293109daaf51d107630ed05ad43', 2)",0xebe8f15e05bb11528c96d66e57f9626f9dfd2cae,1.0
"('0xaa524b10719cabf95faaef1005d9cba4f0722471575a8a9130178a5a68da4683', 2)",0xacd0f92f800bf15dee56a1b4c65c6f7c288c435a,1.0
"('0xb3ae8c3cae9a5ce26321ceafed243445f7c2732428ef8d6298a677e5433283ff', 10)",0x9c0fdb63c551142c6821306965006d59c26b9bea,1.0
"('0xe07dd213ef017e7f20bbb4ab4ecf4cd2a23a16e9f9696d02fce40c39cbf22024', 66)",0x09397eee96b3afbc59b7a95cca193a667c9ee277,1.0
"('0x3146652e98a5ca19daa028ebaa19e9dcf04574bccc59f13736ed37ec24d510af', 14)",0x000d00d8db9b5f5bb6901c51f1a8da83ae61af09,1.0
"('0x4b3b641556c947044c8f6efde134cf3ef87d0382ec09a4464a4c67926531ead1', 302)",0xbf6bcaf7c501a3f8239e9e665c0cc1d0a7d7c012,1.0
"('0x95ed4f386dcf906e8c313869abc4388978719f29cbec14df143bb91a21890f5c', 74)",0x01283f5f36ede568833786d5fa29e416ecd919ed,1.0
"('0xfa7102ba6413c78700fae6118bdc763ac86c84efa441da76a221ba3624b4aaa8', 8)",0x58dac237b41aaf15db1cc89e79a6b9d4b6163eaf,1.0
"('0x117dc0d6c11615aa988d5e226bd02074b695f12f993153c6c66f1b8fbe5a37f5', 44)",0xcfa0c3e67482e1ad7177d54f5bd19dd496bddf59,1.0
"('0xfc174540abec4817c6ef265f5502b9d7461894cc82161c3a9e8cc85df4b533f3', 44)",0x4f4b8f4a5745dedb9fdc0a7f67b48b2a5ea237bc,1.0
"('0x169fae6178bb3a0bc5aaae55bf7e8b7feec66bdfe43bc4191f21aa40f116b12a', 92)",0x593bed9b0a18c33600d9fe31066838f92cf8b602,1.0
"('0x11e98f4091d80ded2d7a5c6383710a80231c70bf7f3e8530105b121b18d0e810', 598)",0x8d41923b7eacd7f1eeea63bd55b5b88f447ea976,1.0
"('0x5bf637c8ff78ba8e8f639ec4ee9b5db39938c29f1b70a3eb7f3ba5b0fa806da9', 146)",0x80e65a1ac2f75a0ce170d94c390152a4f99d7d06,1.0
"('0x958f47b3dde39e2190638b8e4da82e87f9c79fd70b794207164f98d83f4755c1', 32)",0xca9fafeb4cb58e7f5949d6b238c86143ccd8d7f3,1.0
"('0x2d2768708ace7f25deab76cbd92b7b9eae579aeb1a59bf862650ac4a1efb26f3', 350)",0x1ed0b9bee7f5a9347dc4946c02a4a6cd6f32c935,1.0
"('0xb924bab9c0c8f8b167c82bbad59a65b1cae04db2943553246a0c29cca1d05abf', 392)",0x35c5642d387657f1eed6ce24b44f95d6fd5e821a,1.0
"('0xaf43b890cdaa6d314eda920e64f6e40ef4fc7d4423d7b7334abfa0496176bac2', 132)",0x1df6b8ae79b2c3a0041ec7271bb37b48d82b47f5,1.0
"('0x91548a8a2bbb7abc622c317d6f187f344a005ab0c09aa6a916cce7b6a9a62558', 26)",0x943680950ed985ff75eb7704a8c7747e045ca533,1.0
"('0xf93fed886d4e823a22d8282019b0bc1d15585bc818af025af62c7c986c53e48d', 84)",0xacd0f92f800bf15dee56a1b4c65c6f7c288c435a,1.0
"('0x13e40985307f79b0b159c41b28563b9da212719b3fa6c54694bb88e6c734372e', 8)",0x104857b4648fb13a56d4e165df9b36f9a89c253e,1.0
"('0x9a3eb32236019ab4ae2d5e193e7c26937515403989df5d36bd473d4757215cb6', 20)",0xb1083ad7a9785130eaa941feecb5adca3d431a1a,1.0
"('0x590043f4f25193a5c19a715ce1e096e22b68d2b3fc402419d1d30e3d93c6c5bd', 0)",0x5bdf93f95d63d4f55435694f37e8fa8eb36df7ef,1.0
"('0x37513138fa2c7a954cb32de4367fa0e21e0c5e2ef8a3fd768ae5c652f6c34e5c', 18)",0x727f66cbfe245607dca07653ebb8036dd060be3c,1.0
"('0xd5c82764e44d055b84996906b743c724cccc551192f53ffcf5111c0568a68ab1', 78)",0x8c9bf1deb6298c976dc0bfae596a66d76ce564c6,1.0
"('0x6199c69648bedad170d92158a14f051caf446b27363e481ff4a49e3fe25ca0a9', 96)",0x38955292b183910c0776fd69f8887366ea1de42c,1.0
"('0x4d56c6f917a615507794e77da8e9b766adcae560e3254bfeeed706bc78dfea4b', 0)",0xb5833db3379abba68c591645e5df1423d56460b4,1.0
"('0x9512bfcd782c2aba7c5626d86c57db6ce4620869feeb481de7e0a1e761d6d4dc', 50)",0x43b4e67cad59c130d925be6b54cddb496a370460,1.0
"('0x4daf0db4334946aa505207005942017af0c53866bd636fe79f1ac47821a65e9f', 6)",0x5bdf93f95d63d4f55435694f37e8fa8eb36df7ef,1.0
"('0xbc7d906e698363601e5ed2ca3e1126a951b6349c9f3cb257e98e134f864a54f4', 4)",0xe0b7660f7eaec17a0b08dbd634b1715ad1c6f5fa,1.0
"('0x8bd05b5b70c84b0d6c31aad3d1d263f6a8250d8f54ee92c1d8c49ff0a554ef77', 46)",0x8f951a7e508e27c0f1b39b618c90dac4c0684dd1,1.0
"('0xd222f31fa42af7cd9024659c0e18850e6182cbcde5e512851e3024cf97fe31f9', 40)",0x36421cae0ae77133127e590193d29e5fed20c1a2,1.0
