address,name,symbol,decimals
0x3ec3849c33291a9ef4c5db86de593eb4a37fde45,Staked Frax Ether,sfrxETH,18
0x4d15a3a2286d883af0aa1b3f21367843fac63e07,TrueUSD,TUSD,18
0x43edd7f3831b08fe70b7555ddd373c8bf65a9050,Frax Ether,frxETH,18
0xbfa641051ba0a0ad1b0acf549a89536a0d76472e,Badger,BADGER,18
0x25d887ce7a35172c62febfd67a1856f20faebb00,Pepe,PEPE,18
0xac9ac2c17cdfed4abc80a53c5553388575714d03,Automata,ATA,18
0x46d0ce7de6247b0a95f67b43b589b4041bae7fbe,LoopringCoin V2,LRC,18
0x354a6da3fcde098f8389cad84b0182725c6c91de,Compound,COMP,18
0x46850ad61c2b7d64d08c9c754f45254596696984,PayPal USD,PYUSD,6
0x18c11fd286c5ec11c3b683caa813b77f5163a122,Gains Network,GNS,18
0x3e6648c5a70a150a88bce65f4ad4d506fe15d2af,Spell Token,SPELL,18
0x9d2f299715d94d8a7e6f5eaa8e654e8c74a988a7,Frax Share,FXS,18
0x0d81e50bc677fa67341c44d7eaa9228dee64a4e1,BarnBridge Governance Token,BOND,18
0x178412e79c25968a32e89b11f63b33f733770c2a,Frax Ether,frxETH,18
0x680447595e8b7b3aa1b43beb9f6098c79ac2ab3f,Decentralized USD,USDD,18
0x35f1c5cb7fb977e669fd244c567da99d8a3a6850,Usual USD,USD0,18
0x7f9fbf9bdd3f4105c478b996b648fe6e828a1e98,ApeCoin,APE,18
0xa970af1a584579b618be4d69ad6f73459d112f95,Synth sUSD,sUSD,18
0xa0b862f60edef4452f25b4160f177db44deb6cf1,Gnosis Token,GNO,18
0xddb46999f8891663a8f2828d25298f70416d7610,Savings USDS,sUSDS,18
0xb0ffa8000886e57f86dd5264b9582b2ad87b2b91,Wormhole Token,W,18
0x95ab45875cffdba1e5f451b950bc2e42c0053f39,Staked Frax Ether,sfrxETH,18
0x6314c31a7a1652ce482cffe247e9cb7c3f4bb9af,1INCH Token,1INCH,18
0x6fbbbd8bfb1cd3986b1d05e7861a0f62f87db74b,Vision,VSN,18
0x13780e6d5696dd91454f6d3bbc2616687fea43d0,TerraUSD,UST,6
0x6985884c4392d348587b19cb9eaaf157f13271cd,LayerZero,ZRO,18
